task,model,fraction,n_seeds,n_train_mean,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,param_count_mean,param_count_std,train_time_s_mean,train_time_s_std,n_train_std
I_photo,mlp_l,1.0,3,1792.0,0.004543623332963744,1.0813999903734587e-05,0.0037610443145603724,1.2025213432527803e-05,0.9616352323898479,0.00018246647555333832,5.132121985535971e-06,9.676960655476372e-09,4.268016514287841e-06,1.323728755321992e-08,0.7911748907677135,0.0035183083260940527,1.9685389879594057,0.021816682365577655,2561.0,0.0,0.31588153339301545,0.0166066599277263,0.0
AC_Response,dkan,0.01,3,31.0,0.8568824903136808,0.2540310185092757,0.5885577115450197,0.12868550504401932,0.8612427672851123,0.0835464114108854,0.8568824903136808,0.2540310185092757,0.5885577115450197,0.12868550504401932,33.677577980145145,5.002940271521076,15929.235802862197,4655.580134999309,680.0,0.0,1.2943325999658555,0.07339092559774116,0.0
AC_Response,bkan,0.01,3,31.0,2.083987680985501,0.26671257533170056,1.7361056570716304,0.130196049327658,0.23321267866492204,0.20175988486193813,2.083987680985501,0.26671257533170056,1.7361056570716304,0.130196049327658,68.81007359350754,8.488935666813383,59580.83000579666,12258.999604251387,1248.0,0.0,1.4014891666981082,0.03276814384798079,0.0
AC_Response,mlp_n,0.01,3,31.0,0.21584536585066424,0.015865715737990376,0.15776418588479663,0.012830212000471727,0.991863185336647,0.0011589822554836384,0.21584536585066424,0.015865715737990376,0.15776418588479663,0.012830212000471727,12.672416999996242,1.349703640489434,2669.0333046859855,608.1669792284464,705.0,0.0,0.23704859998542815,0.006105381972416656,0.0
AC_Response,mlp_l,0.01,3,31.0,0.1921572316388284,0.033266159491455484,0.14018654789168286,0.010112816300857155,0.9933935677425753,0.002345917897982605,0.1921572316388284,0.033266159491455484,0.14018654789168286,0.010112816300857155,11.56354911195025,0.9269548665960887,2201.110570100791,407.48899605304734,2433.0,0.0,0.24790173334379992,0.02216751613525718,0.0
AC_Response,dkan,0.05,3,156.0,0.17110417527304367,0.023881613390279843,0.10618818924167317,0.008390996698586459,0.994815235343078,0.0014850362606155215,0.17110417527304367,0.023881613390279843,0.10618818924167317,0.008390996698586459,6.376254804241817,0.4482384633416859,1872.9410281717974,336.83157575618327,680.0,0.0,2.0710258333710954,0.09986139231400981,0.0
AC_Response,bkan,0.05,3,156.0,0.2841585813309608,0.10458515400671027,0.200546726616061,0.07349502690484368,0.9840733998765447,0.011585980234565382,0.2841585813309608,0.10458515400671027,0.200546726616061,0.07349502690484368,11.640448241148965,4.108931915987515,5190.679394725693,852.1032822687553,1248.0,0.0,5.889108900058393,0.06241119381087624,0.0
AC_Response,mlp_n,0.05,3,156.0,0.18274515453437065,0.00894443884440511,0.14808024649135862,0.004109751920717912,0.9941848665151714,0.0005761618455998326,0.18274515453437065,0.00894443884440511,0.14808024649135862,0.004109751920717912,15.094484844101563,1.4474389098440579,1723.1915346170672,524.7852277698602,705.0,0.0,0.24348786663419256,0.007606757167700637,0.0
AC_Response,mlp_l,0.05,3,156.0,0.17328667436494913,0.01149783820351182,0.14079437492114025,0.00897240536636461,0.994760776491807,0.0006815010646158709,0.17328667436494913,0.01149783820351182,0.14079437492114025,0.00897240536636461,14.471142642446765,1.3840392415328724,1638.307524155313,676.4169342927755,2433.0,0.0,0.27191513338281464,0.023656532447319183,0.0
AC_Response,dkan,0.1,3,313.0,0.0972626384856759,0.009227385261253825,0.060347869725652876,0.004139949200637781,0.9983418941277947,0.0003103883303335864,0.0972626384856759,0.009227385261253825,0.060347869725652876,0.004139949200637781,3.956065325565042,0.6392384586207841,869.5594781740291,220.27985248711957,680.0,0.0,2.4817756333310776,0.17747591648010397,0.0
AC_Response,bkan,0.1,3,313.0,0.12691702569910443,0.00731385316545954,0.08878496999189826,0.0006836482245761389,0.9971925733659383,0.00032446566748255595,0.12691702569910443,0.00731385316545954,0.08878496999189826,0.0006836482245761389,5.416306577249326,0.17044189394765139,2484.7703243374867,1273.7283782432485,1248.0,0.0,10.765774566641388,0.4555604511497541,0.0
AC_Response,mlp_n,0.1,3,313.0,0.18876310119611214,0.008160455834126397,0.155597416662959,0.00585661673166836,0.9937988260467246,0.0005394688191768311,0.18876310119611214,0.008160455834126397,0.155597416662959,0.00585661673166836,15.805140092337803,1.0575293383666486,2327.4979390685226,626.2345130505348,705.0,0.0,0.23709629996058842,0.005483191362890957,0.0
AC_Response,mlp_l,0.1,3,313.0,0.17939653143885234,0.016494077638126853,0.14768629916641357,0.012579289509965178,0.994362160802853,0.0010592713197134969,0.17939653143885234,0.016494077638126853,0.14768629916641357,0.012579289509965178,15.273230279730138,1.3309042573465752,1982.963674254874,868.9549253905766,2433.0,0.0,0.26152660003087175,0.008635264224911213,0.0
AC_Response,dkan,0.25,3,784.0,0.07732598700785671,0.0064277574348153566,0.04713431539375861,0.002946743134323209,0.9989541477749503,0.000169637216801878,0.07732598700785671,0.0064277574348153566,0.04713431539375861,0.002946743134323209,2.871653611562975,0.19349279086951882,515.2198286048884,168.60726662018325,680.0,0.0,2.3834776000197357,0.03998562204024933,0.0
AC_Response,bkan,0.25,3,784.0,0.07881880903078957,0.008665019292230342,0.05051094411312638,0.00720472920108624,0.9989077905990841,0.00022865993460777608,0.07881880903078957,0.008665019292230342,0.05051094411312638,0.00720472920108624,2.996200320092106,0.4744480896785238,1007.9477705745858,672.4432158024873,1248.0,0.0,25.834423100032534,0.05924270037734012,0.0
AC_Response,mlp_n,0.25,3,784.0,0.1853592592363921,0.0036010490884694113,0.15328936436886823,0.005151428445654439,0.9940293550277625,0.00023336780345985456,0.1853592592363921,0.0036010490884694113,0.15328936436886823,0.005151428445654439,15.664344675290927,0.4943031021460707,2193.747438614982,552.7681230122967,705.0,0.0,0.2553837000159547,0.019085603008778148,0.0
