task,draw_index,draw_seed,active_terms,formula_to_sampled_teacher_rmse,formula_to_sampled_teacher_r2,sampled_teacher_to_tcad_rmse,sampled_teacher_to_tcad_r2,formula_to_tcad_rmse,formula_to_tcad_r2
Capacitance,0,26000,24,5.663030354779211e-19,0.9683901745662958,1.3111932501878103e-19,0.998388515223721,5.722308464223476e-19,0.9693072835476713
Capacitance,1,26001,24,5.633791114895247e-19,0.9701439563038373,8.303959170170018e-20,0.9993536567650689,5.71202008125718e-19,0.9694175518239622
Capacitance,2,26002,24,5.534241684515004e-19,0.9716520723963014,9.163724505969293e-20,0.999212887433923,5.758509987094689e-19,0.9689177072850723
Capacitance,3,26003,24,5.415836442673607e-19,0.9717540696635597,8.934197241320944e-20,0.9992518238329912,5.74324664931165e-19,0.9690822605436712
Capacitance,4,26004,24,5.416763201425181e-19,0.9728498788738229,1.0645726722183463e-19,0.998937709189864,5.781058904408517e-19,0.9686738093768544
Capacitance,5,26005,24,5.549982260497916e-19,0.9705109162184522,8.385110035041088e-20,0.9993409621929973,5.709242027184779e-19,0.9694472922777141
Capacitance,6,26006,24,5.495162425998038e-19,0.9707269372554546,1.0088127326444902e-19,0.9990460757103269,5.686784098556681e-19,0.969687184369184
Capacitance,7,26007,24,5.449340441615314e-19,0.9721706837737933,8.869156732484788e-20,0.9992626775515084,5.754269239538412e-19,0.968963470380687
Capacitance,8,26008,24,5.605368344326164e-19,0.9706317422451415,9.182581823493829e-20,0.9992096446250559,5.701007567692534e-19,0.9695353612724908
Capacitance,9,26009,24,5.396158456974698e-19,0.9732822244394326,1.0608116598087908e-19,0.99894520183283,5.821530747492269e-19,0.9682336593702391
Capacitance,10,26010,24,5.498230488888708e-19,0.9712129706844932,8.658985893126324e-20,0.9992972079153423,5.680775335442144e-19,0.9697512087097228
Capacitance,11,26011,24,5.44691641745433e-19,0.9718757380058195,8.495676663279771e-20,0.999323467370301,5.743599099885303e-19,0.9690784657181885
Capacitance,12,26012,24,5.389120366186796e-19,0.9719226067692156,9.63586640572624e-20,0.9991296892705169,5.737623704552031e-19,0.969142771139183
Capacitance,13,26013,24,5.495307101342957e-19,0.9719793980686059,8.923198652717074e-20,0.9992536648079534,5.7543978353662265e-19,0.9689620831627277
Capacitance,14,26014,24,5.661930590455066e-19,0.96921597261318,9.836677428903751e-20,0.9990930368182835,5.694748448769902e-19,0.9696022186200682
Capacitance,15,26015,24,5.498668131763351e-19,0.9711599455194964,8.351871489561227e-20,0.9993461766842686,5.759614492143079e-19,0.9689057827276212
Capacitance,16,26016,24,5.602852072358625e-19,0.9711945795802762,9.101352914713452e-20,0.9992235657098498,5.792726205730111e-19,0.9685472370902243
Capacitance,17,26017,24,6.992610887296781e-19,0.9533959139459953,9.740838311165812e-20,0.9991106238758934,7.345652257606743e-19,0.9494229461957577
Capacitance,18,26018,24,5.558810575598627e-19,0.9720033097784113,1.1694437600713734e-19,0.9987181078762719,5.802469012271681e-19,0.9684413470919525
Capacitance,19,26019,24,5.477480919336839e-19,0.9713978273020141,8.728395734442294e-20,0.9992858956903284,5.813126742907269e-19,0.9683253094148527
