task,method,split,axis,reference_derivative,prediction_derivative,derivative_std,source,abs_derivative_error
I_dark,deterministic_kan,test,-1.6,-0.0995134848989209,-0.099638,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.00012451510107910901
I_dark,deterministic_kan,test,-0.2,-0.8364311439032477,-0.8511271,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.014695956096752338
I_dark,deterministic_kan,test,-2.8000000000000003,-0.0448490279697395,-0.045671914,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0008228860302605043
I_dark,deterministic_kan,test,-1.8,-0.0833154991946933,-0.08707662,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.003761120805306689
I_dark,deterministic_kan,test,-1.8,-0.0800501668719206,-0.083405964,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.003355797128079402
I_dark,deterministic_kan,test,-2.6,-0.0454155119433501,-0.04940275,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.003987238056649904
I_dark,deterministic_kan,test,-0.8,-0.2048938285453552,-0.20762664,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0027328114546447957
I_dark,deterministic_kan,test,-2.6,-0.0493237099387329,-0.05065444,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0013307300612671047
I_dark,deterministic_kan,test,-1.6,-0.1013316123293428,-0.10138679,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,5.517767065719992e-05
I_dark,deterministic_kan,test,-2.2,-0.0653665272651409,-0.0625066,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0028599272651409074
I_dark,deterministic_kan,test,-1.2000000000000002,-0.1498721741000963,-0.1458977,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.003974474100096298
I_dark,deterministic_kan,test,-2.8000000000000003,-0.0460668683534635,-0.042633407,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0034334613534635003
I_dark,deterministic_kan,test,-2.2,-0.0615712927359588,-0.063052624,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.001481331264041201
I_dark,deterministic_kan,test,-0.8,-0.1997599360951412,-0.18759005,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.012169886095141191
I_dark,deterministic_kan,test,-1.0,-0.1660137424872729,-0.16495453,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0010592124872729203
I_dark,deterministic_kan,test,-2.8000000000000003,-0.0443869297082564,-0.044685144,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0002982142917436065
I_dark,deterministic_kan,test,-1.0,-0.1725162191345717,-0.18592757,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.013411350865428273
I_dark,deterministic_kan,test,-2.6,-0.0483734965509015,-0.04944276,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0010692634490985023
I_dark,deterministic_kan,test,-2.4000000000000004,-0.0559793495942386,-0.052656863,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0033224865942386023
I_dark,deterministic_kan,test,-1.2000000000000002,-0.1449183221755667,-0.14316033,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.001757992175566686
I_dark,deterministic_kan,test,-3.0,-0.0411519048217918,-0.036659274,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004492630821791799
I_dark,deterministic_kan,test,-2.2,-0.0627163870247677,-0.060831916,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0018844710247677005
I_dark,deterministic_kan,test,-1.8,-0.0841893679653438,-0.08608764,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.001898272034656201
I_dark,deterministic_kan,test,-1.6,-0.0978679193074292,-0.09482084,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0030470793074292013
I_dark,deterministic_kan,test,-0.8,-0.1942115572707337,-0.18111338,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.013098177270733702
I_dark,deterministic_kan,test,-1.4,-0.1180133460641599,-0.114719704,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.003293642064159899
I_dark,deterministic_kan,test,-0.2,-0.8154432375554208,-0.8202748,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004831562444579163
I_dark,deterministic_kan,test,-0.2,-0.8201367613834734,-0.8220863,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0019495386165266915
I_dark,deterministic_kan,test,-2.6,-0.0494893447106861,-0.050336324,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0008469792893139039
I_dark,deterministic_kan,test,-1.4,-0.1289526767455093,-0.12258364,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0063690367455093155
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2839680158092932,-0.2606039,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.023364115809293207
I_dark,deterministic_kan,test,-0.8,-0.1984017712892658,-0.18534923,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.013052541289265807
I_dark,deterministic_kan,test,-1.2000000000000002,-0.1526603343880097,-0.15939729,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0067369556119903085
I_dark,deterministic_kan,test,-1.4,-0.1178464100929943,-0.11541999,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0024264200929943053
I_dark,deterministic_kan,test,-1.6,-0.0980624589234295,-0.09404562,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004016838923429508
I_dark,deterministic_kan,test,-0.6000000000000001,-0.2798373087610883,-0.2634274,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.016409908761088332
I_dark,deterministic_kan,test,-3.0,-0.0405665184537795,-0.037816644,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0027498744537794995
I_dark,deterministic_kan,test,-1.4,-0.1240404166358786,-0.11957837,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.004462046635878597
I_dark,deterministic_kan,test,-1.6,-0.0952727001938278,-0.09325696,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.002015740193827803
I_dark,deterministic_kan,test,-0.2,-0.7991470673863645,-0.8002619,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0011148326136354303
I_dark,deterministic_kan,test,-1.2000000000000002,-0.144350274567703,-0.1454555,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0011052254322969912
I_dark,deterministic_kan,test,-1.8,-0.0801719729968795,-0.079869404,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.0003025689968794987
I_dark,deterministic_kan,test,-2.2,-0.0627815060502889,-0.060646173,,<REPO_ROOT>/artifacts\results\device_modeling\dark_current_deterministic_kan\predictions.csv,0.002135333050288901
