task,model,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,group_macro_rmse_target_mean,group_macro_rmse_target_std,group_macro_mae_target_mean,group_macro_mae_target_std,wall_time_s_mean,wall_time_s_std,param_count_mean,param_count_std
APD_I_net,bkan,0.03746513399584607,0.006222226454025784,0.019289339246150443,0.0017177492126688478,0.9972028380484114,0.0009236099694430941,1.2583930138084213e-07,3.237232097279564e-08,1.7560725459467053e-08,2.9174008122627463e-09,2.298556688647642,0.20972105220145199,15.05831074700644,1.8556512813443133,0.0362992271479678,0.005586715330893081,0.019289339246150443,0.0017177492126688489,297.3008947300026,52.09118157802551,1872.0,0.0
APD_I_net,dkan,0.06825607368214934,0.009435241654797897,0.04056384194360683,0.008051195475531845,0.9907690641347571,0.0025893686639129744,1.956938443845599e-07,2.0930729279655624e-08,3.0805714610385335e-08,4.5075412945910154e-09,5.831288185886122,1.7578927115298375,27.901495909636274,5.516573256911476,0.0665186995680443,0.008800317450848945,0.04056384194360683,0.008051195475531844,4.7246475599939,1.0483161090534152,1088.0,0.0
APD_I_net,mlp_l,0.2656041502609859,0.008747645976548219,0.2003447571000093,0.006647500258139483,0.8626621378476974,0.008498551339449607,3.6034081435581403e-07,8.037592768872882e-09,8.994729037728577e-08,1.5818887471599223e-09,42.44522000791888,1.070643194638196,85.57685263081001,2.5691963168950678,0.265457806487183,0.008774375489870428,0.2003447571000093,0.006647500258139484,1.0342548200162127,0.23333708397984773,2625.0,0.0
APD_I_net,poly3_ridge,0.20827756576108913,0.20281003768901057,0.14724139975974287,0.1163035307880081,0.8442007699776116,0.3631388440011711,8.710679085012654e-07,2.2529004443512493e-06,1.5677133147383124e-07,3.664580006441863e-07,22.513686340933624,5.450030310682461,620.2198102657666,1793.1668646550884,0.17865290568471975,0.11556653050259577,0.14724139975974287,0.11630353078800809,0.010917440010234713,0.0014393691808811226,120.0,0.0
APD_I_net,spline_ridge,0.04955321550688008,0.006364533191943066,0.03361535276933304,0.0035939577156367188,0.9951623371416162,0.0011815475933423013,9.955498603276173e-08,8.884708976612075e-09,1.8791117423825972e-08,1.3204836973435892e-09,5.369363222871749,0.795724893128946,24.00305618227408,3.0860229807511015,0.04689446380858027,0.005169801557727792,0.03361535276933304,0.0035939577156367188,0.009382120030932129,0.0008931498651055327,50.0,0.0
APD_M,bkan,0.037803164046579185,0.008878412069721208,0.01855590747801154,0.0028669907107940957,0.9967107733607994,0.0015555986779473793,1.5312497162980983,0.41146297571413576,0.23999291119869456,0.0496437769787666,1.956982983081709,0.28716381938016194,15.662259700812067,2.4041538217214793,0.036424191299097755,0.008144970809070376,0.01855590747801154,0.0028669907107940953,302.1905807199655,39.122715133231296,1872.0,0.0
APD_M,dkan,0.0610975643015483,0.013344611668079518,0.036091630211934185,0.01097643455336942,0.9914567403917183,0.003785271851227593,2.0443030975548995,0.2889655907214832,0.35585424690242273,0.0595315837857806,5.203267348886998,2.021658217296141,24.374004206236183,7.45729262932211,0.059543692095864964,0.012943807399373794,0.036091630211934185,0.010976434553369423,4.953787389956415,0.6685063598755034,1088.0,0.0
APD_M,mlp_l,0.2616296988319456,0.013047090966627798,0.19732704451490451,0.010271320618910406,0.8498427895295352,0.013595633958377037,4.43884131174165,0.19318066576686602,1.2485740099213245,0.04308153027351437,42.15765618744909,1.927792926836214,84.92151367283417,3.9462721533346077,0.2614907683096982,0.013079964670228384,0.19732704451490451,0.01027132061891042,1.0923021799651906,0.16322684702565446,2625.0,0.0
APD_M,poly3_ridge,0.1840953339426918,0.14476455243305084,0.13304856646611435,0.08452623802756164,0.8847863559394918,0.23117802659747216,5.23473881492004,10.490267721344196,1.1898022306698224,2.0356418707851818,21.730170017259873,4.44719593429078,277.5412844637147,714.7082623599904,0.16409373147949902,0.08393742319631524,0.13304856646611435,0.08452623802756162,0.012521389964967966,0.003083741212667079,120.0,0.0
APD_M,spline_ridge,0.04945922310458088,0.006524802178666129,0.0333818140010112,0.0038353163481257314,0.9945715185008301,0.0013579491344569267,1.2853830118039098,0.19410048900941626,0.2633236477866404,0.02516342659609006,5.233961834527579,0.862608379072745,24.12806244346735,3.306714022945463,0.04681165440240565,0.005324513185354311,0.0333818140010112,0.0038353163481257323,0.009599620057269932,0.00116186202689607,50.0,0.0
