task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,reused,reuse_source,wall_time_s,train_groups,validation_groups,calibration_groups,test_groups
I_dark,47,dkan,0.01561136954259461,0.011825580573364884,0.9921536277338865,1.3994393779841206e-08,9.261764434908765e-09,2.2865534651015063,7.316971154829048,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_47/I_dark/dkan/test_predictions.csv,0.0298897260000075,104,16,24,16
I_dark,47,mlp_l,0.014541125330063406,0.010197188087049506,0.9931925738909415,8.63670860668522e-09,6.750010873020033e-09,1.6675567238783464,9.638499932140121,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_47/I_dark/mlp_l/test_predictions.csv,0.029785492999991448,104,16,24,16
I_dark,47,spline_ridge,0.004274849583122994,0.0029045786031884273,0.9994116597281956,4.018199931680059e-09,2.5404691100395723e-09,0.40377721004429007,2.0274203745174693,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_47/I_dark/spline_ridge/test_predictions.csv,0.03091348299999197,104,16,24,16
I_dark,47,gmls,0.026025678782616128,0.01360609411298234,0.9781932456533081,2.791079453904744e-08,1.1822028313614939e-08,1.2659211140707973,9.631494685409885,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_47/I_dark/gmls/test_predictions.csv,0.03068226599999946,104,16,24,16
I_dark,47,autopinn,0.014683560587397278,0.010299275861866982,0.9930585586295789,1.1055657204264953e-08,7.696070906152225e-09,1.4986886014611782,7.525466270266639,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_47/I_dark/autopinn/test_predictions.csv,0.03071736000001124,104,16,24,16
I_dark,47,curve_lut,0.06849684398656128,0.054000734489376256,0.8489474629103518,6.56828087095404e-08,4.6723853489147284e-08,11.310001609352003,29.115975203874683,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_47/I_dark/curve_lut/test_predictions.csv,0.02980053699999985,104,16,24,16
I_dark,48,bkan,0.003556437745628827,0.00230876338931227,0.9996013521465166,1.7984593142050585e-09,1.261534217710138e-09,0.35020503806929654,1.4829693527263965,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_48/I_dark/bkan/test_predictions.csv,0.04025825700000496,104,16,24,16
I_dark,48,dkan,0.020248262085030104,0.01145752917116516,0.9870778578200521,1.3864168596461328e-08,7.017210228907004e-09,1.5633252481456519,13.123712301543144,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_48/I_dark/dkan/test_predictions.csv,0.030547491999996623,104,16,24,16
I_dark,48,mlp_l,0.016570122092688683,0.012074858648761214,0.9913461288414298,7.174502388095166e-09,5.98732247504777e-09,1.9668014127625377,9.686465262723702,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_48/I_dark/mlp_l/test_predictions.csv,0.02924493800000505,104,16,24,16
I_dark,48,spline_ridge,0.004272083368406113,0.0030020256867469676,0.9994247740809852,2.2164273727234368e-09,1.6476571578906665e-09,0.4257463855368466,1.875341046631707,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_48/I_dark/spline_ridge/test_predictions.csv,0.02985951099999795,104,16,24,16
I_dark,48,gmls,0.028703900090574986,0.020349808839025773,0.97403186097201,1.58231907867645e-08,1.1512573318996254e-08,2.910858809040033,17.39126847994638,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_48/I_dark/gmls/test_predictions.csv,0.02966969300000244,104,16,24,16
I_dark,48,autopinn,0.019193051031494195,0.012962892300635572,0.988389603689996,8.120704113651104e-09,6.417247761492131e-09,1.9956829215316327,9.382356975467697,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_48/I_dark/autopinn/test_predictions.csv,0.02943678200000477,104,16,24,16
I_dark,48,curve_lut,0.08199103406603658,0.06667829175713681,0.7881191357872332,5.504609746499033e-08,4.303624470719563e-08,12.8800565817841,38.4096898878496,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_48/I_dark/curve_lut/test_predictions.csv,0.030214791999995327,104,16,24,16
I_dark,49,bkan,0.00282040690678672,0.002080023233364266,0.9997256006956969,1.8774802186780762e-09,1.3747241048782425e-09,0.3554428647054988,1.4015165387900075,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_49/I_dark/bkan/test_predictions.csv,0.039895966000003114,104,16,24,16
I_dark,49,dkan,0.016154991898951154,0.012033023234364408,0.9909972963146115,1.1010155687374872e-08,8.17878485694026e-09,2.110925364149262,5.738545354184248,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_49/I_dark/dkan/test_predictions.csv,0.029960275999997066,104,16,24,16
I_dark,49,mlp_l,0.01635971025872831,0.011648735988498788,0.9907676835433202,8.07271816022751e-09,6.575512028480107e-09,1.8091589395690906,9.726462495370765,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_49/I_dark/mlp_l/test_predictions.csv,0.03054987499999129,104,16,24,16
I_dark,49,spline_ridge,0.0036719865395520254,0.002666387315870363,0.9995348836268295,2.391048234279481e-09,1.766164249933432e-09,0.4627846133433601,1.5596739044432908,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_49/I_dark/spline_ridge/test_predictions.csv,0.029897363000003452,104,16,24,16
I_dark,49,gmls,0.014928312008914094,0.010244314057552665,0.9923125753175241,1.0036343100868758e-08,6.310607019359228e-09,1.0982365502539002,6.593640632262811,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_49/I_dark/gmls/test_predictions.csv,0.028925783999994792,104,16,24,16
I_dark,49,autopinn,0.011972368465117757,0.009119902752351697,0.9950555314871755,8.149253857660415e-09,6.030573946392511e-09,1.6294782384293365,5.589508958287429,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_49/I_dark/autopinn/test_predictions.csv,0.02953256499999668,104,16,24,16
I_dark,49,curve_lut,0.06219591088509802,0.047208303540594354,0.8665608913980991,4.7432969368822026e-08,3.377228342908786e-08,8.15050026160101,30.454867301663807,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_49/I_dark/curve_lut/test_predictions.csv,0.03009692399999153,104,16,24,16
I_dark,50,bkan,0.0035539009874292616,0.002773140467654045,0.9995379684530573,2.6277714124869956e-09,1.9212990080086854e-09,0.49992790233430057,1.704977880047773,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_50/I_dark/bkan/test_predictions.csv,0.038586872999999855,104,16,24,16
I_dark,50,dkan,0.020172384828580633,0.015773528679309073,0.9851140871973455,1.3828487507340599e-08,1.0832409314597917e-08,3.132619709615538,7.999860023757737,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_50/I_dark/dkan/test_predictions.csv,0.029501546000005874,104,16,24,16
I_dark,50,mlp_l,0.014846598916373426,0.010242373377753345,0.9919366607229092,6.909755057047151e-09,5.5272104025833766e-09,1.5256424652967384,8.77822488530291,True,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_pd/predictions/seed_50/I_dark/mlp_l/test_predictions.csv,0.029834398000005535,104,16,24,16
