task,metric,baseline,n_pairs,baseline_minus_bkan_mean,corrected_ci95_low,corrected_ci95_high,corrected_standard_error,corrected_p_value,baseline_better_runs,ties,bkan_better_runs,corrected_p_value_holm_global,multiplicity_family
AC_Response,raw_gaussian_crps_task_space,mc_dropout_mlp,10,0.05524764309775957,0.04576467949248954,0.0647306067030296,0.004192000344281986,3.451870984715006e-07,0,0,10,2.4508283991476545e-05,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_gaussian_crps_task_space,equal_budget_deep_ensemble_mlp,10,0.022393172018978825,-0.04007055659024897,0.08485690062820661,0.027612461961733226,0.4382961280217174,0,0,10,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_group_calibration_error_pp,mc_dropout_mlp,10,1.125,-0.9395610434097654,3.1895610434097654,0.9126514626667139,0.24892626365964887,0,7,3,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_group_calibration_error_pp,equal_budget_deep_ensemble_mlp,10,17.125,-1.3416059849464403,35.59160598494644,8.163272777256523,0.06535004490922272,0,1,9,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_mpiw_log,mc_dropout_mlp,10,0.9065950771937669,0.7302458229220815,1.0829443314654523,0.07795623450562907,1.0052995470880494e-06,0,0,10,6.836036920198702e-05,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_mpiw_log,equal_budget_deep_ensemble_mlp,10,0.15349425581791992,-1.0004619897860132,1.3074505014218532,0.5101132072435374,0.7703245145121778,9,0,1,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_interval_score_95,mc_dropout_mlp,10,0.8996137151972181,0.7317847000367577,1.0674427303576786,0.07418981223782972,7.044827972034826e-07,0,0,10,4.93137897839503e-05,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,raw_interval_score_95,equal_budget_deep_ensemble_mlp,10,0.20377353931728268,-0.9321718737548012,1.3397189523893664,0.5021514118262947,0.6943670481404309,8,0,2,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,no_shrink_group_calibration_error_pp,mc_dropout_mlp,10,1.125,-0.9395610434097654,3.1895610434097654,0.9126514626667139,0.24892626365964887,0,7,3,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,no_shrink_group_calibration_error_pp,equal_budget_deep_ensemble_mlp,10,3.25,-1.3640555982545282,7.864055598254528,2.0396706622041734,0.14553584249781326,0,4,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,no_shrink_conformal_mpiw_log,mc_dropout_mlp,10,0.9065950771937669,0.7302458229220816,1.082944331465452,0.07795623450562904,1.0052995470880445e-06,0,0,10,6.836036920198702e-05,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,no_shrink_conformal_mpiw_log,equal_budget_deep_ensemble_mlp,10,0.32887252179482596,-0.7674673693559552,1.4252124129456072,0.4846435557972679,0.5144682052618401,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,no_shrink_conformal_interval_score_95,mc_dropout_mlp,10,0.8996137439085296,0.7317847257944007,1.0674427620226585,0.0741898135435164,7.044827111992901e-07,0,0,10,4.93137897839503e-05,all prespecified task x baseline x endpoint contrasts in this run
AC_Response,no_shrink_conformal_interval_score_95,equal_budget_deep_ensemble_mlp,10,0.3349232043757665,-0.7594749755006779,1.4293213842522108,0.48378521080414866,0.5062179444914006,4,0,6,1.0,all prespecified task x baseline x endpoint contrasts in this run
Capacitance,rmse_model_space,mc_dropout_mlp,10,-1.4047698319515374e-17,-6.932910519928231e-17,4.123370856025157e-17,2.443747401324932e-17,0.5794817650626412,5,0,5,1.0,all prespecified task x baseline x endpoint contrasts in this run
