task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,reused,wall_time_s,train_groups,validation_groups,calibration_groups,test_groups,param_count,train_time_s
I_photo,46,mlp_l,0.005140218886183708,0.004253602243218666,0.9487282079101556,5.864590620990627e-06,4.852727277445915e-06,0.8543193332261729,2.510884624708765,,0.40059660002589226,104,16,24,16,2561.0,0.39144779997877777
I_photo,46,poly3_ridge,0.00851816951315174,0.006493167195415862,0.8591983227306241,9.785778596915573e-06,7.444966188364501e-06,1.1296442971142726,4.491487832960291,,0.009981200040783733,104,16,24,16,84.0,
I_photo,46,spline_ridge,0.005847725439738508,0.005135628910982319,0.9336426217774574,6.693825673997023e-06,5.879238637981414e-06,1.0043877369843641,2.4641253243901966,,0.011834400007501245,104,16,24,16,43.0,
I_photo,47,bkan,0.004341039382708453,0.003637486755325308,0.9635526414520984,4.9836937532442825e-06,4.165401232115232e-06,0.7944045162515369,1.7549999560473295,True,0.008903999987524003,104,16,24,16,,
I_photo,47,dkan,0.004068583011698894,0.0035776812842805376,0.9679841548929611,4.686299734085077e-06,4.1120131278543645e-06,0.8952858438785742,1.4469055321783295,,3.4932148000225425,104,16,24,16,952.0,3.4752796000102535
I_photo,47,mlp_l,0.0043012830092107514,0.0036461473510616075,0.9642171733506173,4.937075648244432e-06,4.184290778736383e-06,0.837200633106457,1.632111651549658,,0.36850520002190024,104,16,24,16,2561.0,0.361839700024575
I_photo,47,poly3_ridge,0.00884843344896806,0.008077949870348943,0.8485701873454454,1.0095033920875802e-05,9.217120370199634e-06,1.8882461441732192,3.374683471675626,,0.007564100029412657,104,16,24,16,84.0,
I_photo,47,spline_ridge,0.004546638451804945,0.0037981405381325873,0.9600184664147147,5.216618234611612e-06,4.359895543813865e-06,0.8260683429684528,1.9490848129415195,,0.008497700036969036,104,16,24,16,43.0,
I_photo,48,bkan,0.004714877481257289,0.0038818170414056993,0.956382483669454,5.383518414230787e-06,4.435909054290004e-06,0.7891583021493604,2.0060859516510536,True,0.00703620002605021,104,16,24,16,,
I_photo,48,dkan,0.006500383921187246,0.00519736180957873,0.9170916783768535,7.419591225247109e-06,5.925455395530699e-06,1.1452035038590669,2.7238738518358825,,3.1522021000273526,104,16,24,16,952.0,3.1358376999851316
I_photo,48,mlp_l,0.0043615040399145825,0.003737878350814036,0.9626756144560891,4.975745651148162e-06,4.274750928345278e-06,0.8303087913782067,1.6895523951369262,,0.41050120000727475,104,16,24,16,2561.0,0.40107159997569397
I_photo,48,poly3_ridge,0.005060486720962003,0.004300134827798598,0.9497536304871971,5.796576728653685e-06,4.91978042901881e-06,0.9587763132869822,1.9210366115991135,,0.009522000036668032,104,16,24,16,84.0,
I_photo,48,spline_ridge,0.00565468285191069,0.004631277611909644,0.9372611414602592,6.481265380966718e-06,5.297841017477247e-06,0.9094771062026752,2.962865626850915,,0.008170699991751462,104,16,24,16,43.0,
I_photo,49,bkan,0.004380357194469485,0.003565338329128146,0.9626947949996468,4.937502742943228e-06,4.031091793769856e-06,0.7924588711241355,2.048613778364294,True,0.005895699956454337,104,16,24,16,,
I_photo,49,dkan,0.004398225816424357,0.0029817075000045327,0.9623898188626869,4.9433851780160904e-06,3.357878827168712e-06,0.3977587824165692,2.816255890908551,,3.28661040001316,104,16,24,16,952.0,3.269939700025134
I_photo,49,mlp_l,0.003758885739056883,0.002965676564295522,0.9725293695177265,4.20854923004863e-06,3.3446124085787084e-06,0.5757990686355485,1.8676929764388719,,0.407188999990467,104,16,24,16,2561.0,0.3987429000553675
I_photo,49,poly3_ridge,0.005504277626769254,0.0042264300663173195,0.9410951519525645,6.254452038961861e-06,4.795658365074083e-06,0.7638042889682017,3.2036135293181642,,0.008211899956222624,104,16,24,16,84.0,
I_photo,49,spline_ridge,0.00400275925156661,0.0032197417131479954,0.968849191843189,4.530156291178358e-06,3.649044937199207e-06,0.6265934126628213,1.9913892646087237,,0.008442800026386976,104,16,24,16,43.0,
I_photo,50,bkan,0.006343938693701279,0.005109574655432929,0.9217689837812537,7.185066280759634e-06,5.8042367110691595e-06,1.0850945286715632,3.0115516133901523,True,0.0072749999817460775,104,16,24,16,,
I_photo,50,dkan,0.005682840253912726,0.00419218606847422,0.9372242495592092,6.435082468008452e-06,4.761684727435655e-06,0.7377451217122537,3.301831741781176,,3.464660300000105,104,16,24,16,952.0,3.436539099959191
I_photo,50,mlp_l,0.005048080971969933,0.004191633413330134,0.9504648318223294,5.71636262252509e-06,4.766758286437025e-06,0.922097754227839,1.9823669368635997,,0.6442900999682024,104,16,24,16,2561.0,0.6351070000091568
I_photo,50,poly3_ridge,0.010075038954396145,0.008143837018980705,0.8026875519465405,1.1666803047631969e-05,9.349816166788882e-06,1.5068404686781927,4.923697619278714,,0.011327999993227422,104,16,24,16,84.0,
I_photo,50,spline_ridge,0.0072753289470027065,0.005580532453552134,0.8971116303446455,8.310943302228326e-06,6.362737605839306e-06,1.0251470793853912,3.8939924850555787,,0.010548299993388355,104,16,24,16,43.0,
I_photo,51,bkan,0.00509480205193723,0.003919901126467796,0.9503984141368388,5.817858736311429e-06,4.474112656651363e-06,0.6585763682621595,2.096480972673986,True,0.008723300008568913,104,16,24,16,,
I_photo,51,dkan,0.005301464676844045,0.0039044412857753927,0.9462927796148779,6.07975476589178e-06,4.463209498317809e-06,0.5524970739073414,2.3124657542589544,,4.252213499974459,104,16,24,16,952.0,4.2229163000010885
I_photo,51,mlp_l,0.004981088927541187,0.004444704915344466,0.9525878638967238,5.6826772442187216e-06,5.080912712844764e-06,0.968545626346996,1.9172421632147536,,0.7960187999997288,104,16,24,16,2561.0,0.78691650001565
I_photo,51,poly3_ridge,0.013820121112138995,0.00962065562631616,0.6350237288276095,1.6061059606568143e-05,1.1118539332945477e-05,1.3173621934484023,8.277180092953468,,0.008605700044427067,104,16,24,16,84.0,
I_photo,51,spline_ridge,0.006098789746672466,0.005166635480816056,0.9289231365041292,7.000903197057605e-06,5.911284340703654e-06,1.1244952256152936,2.5506009523905333,,0.009725100011564791,104,16,24,16,43.0,
