task,scenario,holdout_column,holdout_side,model,n_runs,threshold_mean,threshold_std,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,param_count_mean,param_count_std,train_time_s_mean,train_time_s_std,infer_bs1_s_mean,infer_bs1_s_std,infer_per_sample_s_mean,infer_per_sample_s_std,storage_points_mean,storage_points_std,n_train_mean,n_train_std,n_test_mean,n_test_std,n_fit_mean,n_fit_std,n_val_mean,n_val_std,n_fit_curves_mean,n_fit_curves_std,n_val_curves_mean,n_val_curves_std,validation_overlap_groups_mean,validation_overlap_groups_std
Capacitance,length_high,active_layer_length,high,pdk_lut_knn,1,41.61779436626773,0.0,1.5844187365474172e-18,0.0,1.175257251452484e-18,0.0,0.766931586642265,0.0,1.5844187365474172e-18,0.0,1.175257251452484e-18,0.0,3.103762219681718,0.0,9.08865013958174,0.0,409600.0,0.0,0.0491683001164346,0.0,0.0002843166623885,0.0,2.583784179629826e-05,0.0,51200.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,length_high,active_layer_length,high,poly3_ridge,1,41.61779436626773,0.0,5.670319350103141e-19,0.0,4.350679969249774e-19,0.0,0.9701490251615036,0.0,5.670319350103141e-19,0.0,4.350679969249774e-19,0.0,1.1771792511960475,0.0,3.1964709862966307,0.0,120.0,0.0,0.0663970001041889,0.0,0.0001377833308652,0.0,3.716503897521761e-07,0.0,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,length_high,active_layer_length,high,rbf_nystroem,3,41.61779436626773,0.0,1.4321615837037389e-18,2.0192541364984793e-19,9.659716154598553e-19,1.7184918651040713e-19,0.8057879214912452,0.05501594501843112,1.4321615837037389e-18,2.0192541364984793e-19,9.659716154598553e-19,1.7184918651040713e-19,2.182153184695727,0.34072182595154504,8.643760440479783,2.219436774655611,3073.0,0.0,0.3352650333351144,0.04230703812743031,0.00030259333499186664,2.637011514825804e-06,4.0108420181342e-06,9.109722246956178e-08,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,length_high,active_layer_length,high,spline_ridge,1,41.61779436626773,0.0,9.551350908224197e-19,0.0,7.092104216298199e-19,0.0,0.9153020141927364,0.0,9.551350908224197e-19,0.0,7.092104216298199e-19,0.0,1.735076257426186,0.0,6.162224112865625,0.0,50.0,0.0,0.0454185998532921,0.0,0.0002877066687991,0.0,6.422330670829979e-07,0.0,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,temperature_high,simulation_temperature,high,bkan,3,303.5695753249264,0.0,1.7461757531982531e-19,3.412443060284671e-20,1.1359792715866838e-19,1.889146649380783e-20,0.9974712653608785,0.001008521432087064,1.7461757531982531e-19,3.412443060284671e-20,1.1359792715866838e-19,1.889146649380783e-20,0.24079461305798966,0.0361979300961128,1.1828792807593798,0.24025006664131549,1872.0,0.0,373.5508757333737,1.3134660796040323,,,,,,,51200.0,0.0,12800.0,0.0,43520.0,0.0,7680.0,0.0,,,,,,
Capacitance,temperature_high,simulation_temperature,high,dkan,3,303.5695753249264,0.0,5.187647205242479e-19,5.501847315359494e-20,3.1199394410310987e-19,4.3604498507200864e-20,0.9782605341823104,0.004721192941549998,5.187647205242479e-19,5.501847315359494e-20,3.1199394410310987e-19,4.3604498507200864e-20,0.6558601250391373,0.13370178765923355,3.1297011380229116,0.34144352496306085,1088.0,0.0,3.3037203665977963,0.035796653147950865,,,,,,,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,temperature_high,simulation_temperature,high,mlp_l,3,303.5695753249264,0.0,4.987547476510843e-19,2.9432813378334444e-20,3.323627865749594e-19,2.854483867254481e-20,0.9800595847204036,0.0023821900212749494,4.987547476510843e-19,2.9432813378334444e-20,3.323627865749594e-19,2.854483867254481e-20,0.7317624252245079,0.07955705189422062,3.3405230502129726,0.14852197510326673,2625.0,0.0,4.418454566737637,0.034353404160013624,,,,,,,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,temperature_high,simulation_temperature,high,pdk_lut_knn,1,303.5695753249264,0.0,1.2573020386263645e-18,0.0,9.384555386088378e-19,0.0,0.8737214590645701,0.0,1.2573020386263645e-18,0.0,9.384555386088378e-19,0.0,2.6988092762236464,0.0,8.032004141923125,0.0,409600.0,0.0,0.0399762999732047,0.0,0.0003147366689518,0.0,3.0137864579652767e-05,0.0,51200.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,temperature_high,simulation_temperature,high,poly3_ridge,1,303.5695753249264,0.0,5.8442805375429995e-19,0.0,4.440407165332214e-19,0.0,0.9727157245458968,0.0,5.8442805375429995e-19,0.0,4.440407165332214e-19,0.0,1.25692492947289,0.0,3.5840232335931623,0.0,120.0,0.0,0.0667510000057518,0.0,0.0001408766722306,0.0,3.5715494656566685e-07,0.0,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,temperature_high,simulation_temperature,high,rbf_nystroem,3,303.5695753249264,0.0,2.4117203825522106e-18,4.729462903869985e-19,1.8046268958357002e-18,3.7739764544907157e-19,0.5175053169876034,0.19120039606416725,2.4117203825522106e-18,4.729462903869985e-19,1.8046268958357002e-18,3.7739764544907157e-19,4.363229169502695,1.026633489174513,18.99810473855322,4.341466116890314,3073.0,0.0,0.2970716666895896,0.02714454328576059,0.0003260533325373667,3.271502818250366e-05,4.203803165283817e-06,3.840336265414817e-07,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,temperature_high,simulation_temperature,high,spline_ridge,1,303.5695753249264,0.0,3.634881614144693e-19,0.0,2.18905805839744e-19,0.0,0.9894456654263716,0.0,3.634881614144693e-19,0.0,2.18905805839744e-19,0.0,0.4896899828524984,0.0,2.1983048908018463,0.0,50.0,0.0,0.0476828999817371,0.0,0.0003030400024726,0.0,6.331315110704357e-07,0.0,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,trap_high,trap_assisted_recomb_A,high,bkan,3,1.0804307771577792e-09,0.0,9.084024189630999e-20,2.0039667622267157e-20,3.7939914073860034e-20,9.191957428807028e-21,0.9992537947918176,0.0003310128585866881,9.084024189630999e-20,2.0039667622267157e-20,3.7939914073860034e-20,9.191957428807028e-21,0.052531558564104935,0.012692196248255244,0.425553938366231,0.13494031983894994,1872.0,0.0,375.79924636660144,0.7685939421031343,,,,,,,51200.0,0.0,12800.0,0.0,43520.0,0.0,7680.0,0.0,,,,,,
Capacitance,trap_high,trap_assisted_recomb_A,high,dkan,3,1.0804307771577792e-09,0.0,4.4529869322423465e-19,8.010434016423355e-20,2.754001450578671e-19,3.468227046667533e-20,0.9823478092026224,0.006403775750459987,4.4529869322423465e-19,8.010434016423355e-20,2.754001450578671e-19,3.468227046667533e-20,0.5675142805149922,0.046677559878055476,2.9467301391136744,0.512146503099225,1088.0,0.0,3.3383602666823813,0.08611931932209445,,,,,,,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,trap_high,trap_assisted_recomb_A,high,mlp_l,3,1.0804307771577792e-09,0.0,4.7290906663657975e-19,5.3891959022959647e-20,3.2867227398339466e-19,5.361236235888723e-20,0.9804645452689355,0.0045653299438778785,4.7290906663657975e-19,5.3891959022959647e-20,3.2867227398339466e-19,5.361236235888723e-20,0.778642843456867,0.18636879126284805,3.0906564414247875,0.2909811761174103,2625.0,0.0,4.342665400045614,0.06279605938963179,,,,,,,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,trap_high,trap_assisted_recomb_A,high,pdk_lut_knn,1,1.0804307771577792e-09,0.0,1.1360398685559377e-18,0.0,8.184572520571558e-19,0.0,0.8887111318920013,0.0,1.1360398685559377e-18,0.0,8.184572520571558e-19,0.0,2.086363464293452,0.0,6.187805158561878,0.0,409600.0,0.0,0.0415152001660317,0.0,0.0002744466687242,0.0,2.2356002606708595e-05,0.0,51200.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,trap_high,trap_assisted_recomb_A,high,poly3_ridge,1,1.0804307771577792e-09,0.0,5.384374319252093e-19,0.0,4.2430303619875113e-19,0.0,0.9750002844097324,0.0,5.384374319252093e-19,0.0,4.2430303619875113e-19,0.0,1.2646868371101676,0.0,3.04498092788287,0.0,120.0,0.0,0.0699742001015693,0.0,0.0001657366675014,0.0,4.677083325077547e-07,0.0,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,trap_high,trap_assisted_recomb_A,high,rbf_nystroem,3,1.0804307771577792e-09,0.0,2.2213398212292784e-18,2.966268307398419e-19,1.6465961324773474e-18,2.225021945964753e-19,0.5669176114555876,0.1187186002377239,2.2213398212292784e-18,2.966268307398419e-19,1.6465961324773474e-18,2.225021945964753e-19,3.9757001864060277,0.5189898318652811,17.00532886176918,2.5005073959146507,3073.0,0.0,0.28564546660830575,0.01689747158246591,0.00029703444387346663,3.2202386003746574e-06,4.069637586528391e-06,4.020118248263749e-07,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,trap_high,trap_assisted_recomb_A,high,spline_ridge,1,1.0804307771577792e-09,0.0,3.0169073987939644e-19,0.0,1.6627802429374658e-19,0.0,0.9921514660771142,0.0,3.0169073987939644e-19,0.0,1.6627802429374658e-19,0.0,0.3469514506725972,0.0,1.641537598139881,0.0,50.0,0.0,0.0462156999856233,0.0,0.0003017766711612,0.0,6.640787736008255e-07,0.0,0.0,0.0,51200.0,0.0,12800.0,0.0,,,,,,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,bkan,3,-2.4,0.0,1.1508686910204431e-18,1.0525321678180952e-19,9.779180675821878e-19,9.363086250950601e-20,0.34098669289062045,0.12061130881832913,1.1508686910204431e-18,1.0525321678180952e-19,9.779180675821878e-19,9.363086250950601e-20,3.699974816560973,0.2640924208212779,6.665313247150096,0.5038438023377934,1872.0,0.0,365.45671003342915,13.156249939318567,,,,,,,48000.0,0.0,16000.0,0.0,40800.0,0.0,7200.0,0.0,,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,dkan,3,-2.4,0.0,1.232795285726111e-18,4.123239174940533e-19,1.0700583063443859e-18,3.9765784240907097e-19,0.16620490158372378,0.5482212381340448,1.232795285726111e-18,4.123239174940533e-19,1.0700583063443859e-18,3.9765784240907097e-19,3.889252607197226,0.9164415269701123,7.243705624006435,2.5898424939289706,1088.0,0.0,3.416993000001336,0.18516818294230802,,,,,,,48000.0,0.0,16000.0,0.0,,,,,,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,mlp_l,3,-2.4,0.0,5.883608726931683e-19,1.988943835888508e-19,4.824729794667999e-19,2.0146178292904972e-19,0.8096706116619524,0.12846224903280415,5.883608726931683e-19,1.988943835888508e-19,4.824729794667999e-19,2.0146178292904972e-19,1.548555319071335,0.7386894019800918,4.675745102870756,0.9536693441925691,2625.0,0.0,4.674899200055127,0.2528999626505884,,,,,,,48000.0,0.0,16000.0,0.0,,,,,,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,pdk_lut_knn,1,-2.4,0.0,2.8422731235596654e-19,0.0,1.4896953091032526e-19,0.0,0.9601382028412312,0.0,2.8422731235596654e-19,0.0,1.4896953091032526e-19,0.0,0.2265745831555762,0.0,3.085354709132071,0.0,384000.0,0.0,0.0369952998589724,0.0,0.0002228500011066,0.0,8.372809247703117e-06,0.0,48000.0,0.0,48000.0,0.0,16000.0,0.0,,,,,,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,poly3_ridge,1,-2.4,0.0,5.430733487586401e-18,0.0,4.615658255092423e-18,0.0,-13.552655172820282,0.0,5.430733487586401e-18,0.0,4.615658255092423e-18,0.0,14.400200411283087,0.0,35.238383739555616,0.0,120.0,0.0,0.0627488000318408,0.0,0.000133236660622,0.0,3.86617837951538e-07,0.0,0.0,0.0,48000.0,0.0,16000.0,0.0,,,,,,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,rbf_nystroem,3,-2.4,0.0,1.6819421701976798e-18,1.2375743856164507e-19,1.2631023733842427e-18,1.2106714152863242e-19,-0.40343504631770194,0.2065797068500966,1.6819421701976798e-18,1.2375743856164507e-19,1.2631023733842427e-18,1.2106714152863242e-19,3.5033275581043504,0.4447392651019924,13.136885371036387,0.6905999368303264,3073.0,0.0,0.29620636673644185,0.02072610770052602,0.00032875111274829996,3.150070897159593e-05,4.2211599343823355e-06,5.352514231843044e-07,0.0,0.0,48000.0,0.0,16000.0,0.0,,,,,,,,,,
Capacitance,voltage_extreme_reverse,bias_v,low,spline_ridge,1,-2.4,0.0,1.9380991782344552e-19,0.0,1.5635025914019106e-19,0.0,0.9814656545689812,0.0,1.9380991782344552e-19,0.0,1.5635025914019106e-19,0.0,0.5010368571348356,0.0,1.3421662646073311,0.0,50.0,0.0,0.0453278999775648,0.0,0.0002649799998228,0.0,6.04101561899976e-07,0.0,0.0,0.0,48000.0,0.0,16000.0,0.0,,,,,,,,,,
