task,sample_id,structure_group_id,bias_v,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,simulation_temperature,ge_width_scale,optical_power_W,net_photocurrent_A,_curve_id
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-4.125,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.024286858396997e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-4.25,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.044285123393784e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-4.375,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.063903677149233e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-4.5,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.0834852699196873e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-4.625,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.103438746576597e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-4.75,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.1241472343925297e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-4.875,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.1461627501560153e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-5.0,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.1698112723743245e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-5.125,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.1949976917312264e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-5.25,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.2215849499173785e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-5.375,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.2496149273722086e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-5.5,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.279270814010199e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-5.625,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.3106267048935476e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-5.75,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.343458395446505e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-5.875,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.377748601813055e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-6.0,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.4142166779657968e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-6.125,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.453532924183181e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-6.25,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.4959494780275594e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-6.375,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.541593952277292e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-6.5,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.5906334775139984e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-6.625,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.6433380045111165e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-6.75,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.699937060479597e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-6.875,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.7606914186868866e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-7.0,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.826365938906932e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-7.125,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.8980769330951373e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-7.25,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.976890002127206e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-7.375,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,2.063861678516195e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-7.5,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,2.160210551035961e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-7.625,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,2.267469579359808e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-7.75,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,2.387559681034556e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-7.875,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,2.522890611910496e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-8.0,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,2.6764046849778785e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-8.125,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,2.851531904292557e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-8.25,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,3.052787519272395e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-8.375,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,3.286684696790653e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-8.5,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,3.5619347423812697e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-8.625,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,3.889744211743432e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-8.75,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,4.2853850332439654e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-8.875,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,4.770982758752182e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-9.0,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,5.37995183102507e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-9.125,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,6.165127005793204e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-9.25,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,7.215034594672598e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-9.375,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,8.689271256028683e-07,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-9.5,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.0905925796856614e-06,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-9.625,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,1.4601536302925636e-06,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-9.75,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,2.1950243905069898e-06,apd_structure_20260818_00035
APD_I_net,apd_20260818_00071,apd_structure_20260818_00035,-9.875,4.719681932784466e-10,2646.788297341279,863.7909458671834,291.5051373039499,1.0097591315346437,3e-07,4.321111608089512e-06,apd_structure_20260818_00035
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,0.0,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,4.804452709256044e-10,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-0.125,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,1.0687410076419082e-09,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-0.25,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,2.1657643213952473e-09,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-0.375,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,3.930875742737859e-09,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-0.5,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,6.413803353356922e-09,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-0.625,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,9.542021332086805e-09,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-0.75,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,1.3168534224210963e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-0.875,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,1.711732183986539e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-1.0,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,2.12257335408681e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-1.125,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,2.5719697000726328e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-1.25,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,3.159868803349852e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-1.375,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,3.9024808098124246e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-1.5,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,4.892007817190441e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-1.625,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,5.69138905440288e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-1.75,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,6.002654016296612e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-1.875,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,6.215217718942794e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-2.0,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,6.39854458237125e-08,apd_structure_20260818_00037
APD_I_net,apd_20260818_00075,apd_structure_20260818_00037,-2.125,5.715227923077298e-09,2938.893279632238,886.1492634457227,310.84126226490014,1.0109530098983504,3e-07,6.576817685916485e-08,apd_structure_20260818_00037
