task,sample_id,structure_group_id,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,simulation_temperature,ge_width_scale,optical_power_W,voltage_at_gain_threshold_v,_curve_id
APD_V_M10,apd_20260818_00012,apd_structure_20260818_00006,4.3861764796432675e-09,1854.860802059616,517.0817232922835,305.7188260551647,0.994409494766798,1e-07,-9.49800689103011,apd_structure_20260818_00006
APD_V_M10,apd_20260818_00017,apd_structure_20260818_00008,4.769778248477916e-09,4395.135656940784,860.8430009859817,304.73061342240504,0.9877550881537384,3e-07,-9.50846320867746,apd_structure_20260818_00008
APD_V_M10,apd_20260818_00016,apd_structure_20260818_00008,4.769778248477916e-09,4395.135656940784,860.8430009859817,304.73061342240504,0.9877550881537384,1e-07,-9.501479784693933,apd_structure_20260818_00008
APD_V_M10,apd_20260818_00018,apd_structure_20260818_00009,1.3598426009990168e-09,2374.401088627944,731.9830446474809,291.7705408733179,0.9914341743504648,1e-07,-9.502414673103818,apd_structure_20260818_00009
APD_V_M10,apd_20260818_00019,apd_structure_20260818_00009,1.3598426009990168e-09,2374.401088627944,731.9830446474809,291.7705408733179,0.9914341743504648,3e-07,-9.504342139977922,apd_structure_20260818_00009
APD_V_M10,apd_20260818_00022,apd_structure_20260818_00011,1.7547252431146346e-10,3075.047152996256,695.6290984263508,286.8917584982713,0.9845657547286782,1e-07,-9.482740340009856,apd_structure_20260818_00011
APD_V_M10,apd_20260818_00021,apd_structure_20260818_00010,1.4761221634904916e-10,2052.9619681186414,870.1649313283531,292.2265906409704,1.008369133079646,3e-07,-9.51866947865546,apd_structure_20260818_00010
APD_V_M10,apd_20260818_00020,apd_structure_20260818_00010,1.4761221634904916e-10,2052.9619681186414,870.1649313283531,292.2265906409704,1.008369133079646,1e-07,-9.500002499094988,apd_structure_20260818_00010
APD_V_M10,apd_20260818_00023,apd_structure_20260818_00011,1.7547252431146346e-10,3075.047152996256,695.6290984263508,286.8917584982713,0.9845657547286782,3e-07,-9.466775328751314,apd_structure_20260818_00011
APD_V_M10,apd_20260818_00025,apd_structure_20260818_00012,7.09453111925806e-10,3581.763247831391,650.9437036593333,309.12005136803003,1.0199217939365306,3e-07,-9.50587237985751,apd_structure_20260818_00012
