task,sample_id,structure_group_id,bias_v,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,simulation_temperature,ge_width_scale,optical_power_W,multiplication_gain,_curve_id
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-6.75,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,1.589482861957459,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-6.875,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,1.6474613085448842,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-7.0,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,1.7108867921776036,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-7.125,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,1.780397036973084,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-7.25,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,1.85666798550553,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-7.375,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,1.940527158263275,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-7.5,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,2.032996094713252,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-7.625,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,2.135600236386022,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-7.75,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,2.25082221389941,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-7.875,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,2.381723893881485,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-8.0,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,2.53081298935884,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-8.125,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,2.700442001413533,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-8.25,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,2.895385682730185,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-8.375,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,3.123344643560186,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-8.5,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,3.393520055903088,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-8.625,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,3.717174127611502,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-8.75,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,4.109940365991399,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-8.875,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,4.595148039250296,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-9.0,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,5.209051168357901,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-9.125,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,6.010154461209484,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-9.25,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,7.098308057994114,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-9.375,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,8.657794207968644,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-9.5,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,11.069694503434846,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-9.625,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,15.270868789300502,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-9.75,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,24.30656123720492,apd_structure_20260818_00069
APD_M,apd_20260818_00138,apd_structure_20260818_00069,-9.875,5.991750855316472e-10,3776.792298864677,912.586150200041,290.02680370620385,1.0116326205548458,1e-07,55.93810125126869,apd_structure_20260818_00069
APD_M,apd_20260818_00137,apd_structure_20260818_00068,0.0,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.0038848253917545,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-0.125,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.0086217056310963,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-0.25,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.0174726794869515,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-0.375,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.0318082219994686,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-0.5,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.0522098701412851,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-0.625,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.0783453842176667,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-0.75,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.1092988456091537,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-0.875,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.1438627284854848,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-1.0,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.1808692794570694,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-1.125,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.222355119257626,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-1.25,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.2784170529930868,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-1.375,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.3514956652128858,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-1.5,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.4477198633009905,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-1.625,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.5147457748385037,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-1.75,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.544172313058813,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-1.875,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.5672200418074786,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-2.0,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.5879774709255815,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-2.125,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.6077767568689216,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-2.25,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.6268627466382578,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-2.375,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.6447757269806474,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-2.5,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.6615813771096098,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-2.625,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.6772305485312784,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-2.75,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.6921371789791907,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-2.875,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.7071400681419341,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-3.0,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.7233541510753569,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-3.125,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.7416353655871896,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-3.25,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.7632547268481897,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-3.375,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.7907779219114885,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-3.5,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.825991843639226,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-3.625,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.8653185653908474,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-3.75,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.8984982611091541,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-3.875,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.919865606401548,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-4.0,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.934984233878458,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-4.125,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.9500983653548952,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-4.25,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.9664307087366006,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-4.375,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,0.9832022307834228,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-4.5,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.0,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-4.625,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.0168735262322586,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-4.75,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.0346122748398012,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-4.875,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.054110927267827,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-5.0,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.0754215074779732,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-5.125,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.098127228094812,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-5.25,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.1219889449754796,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-5.375,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.1472489151322327,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-5.5,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.1741846084962655,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-5.625,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.2023023535869153,apd_structure_20260818_00068
APD_M,apd_20260818_00137,apd_structure_20260818_00068,-5.75,5.245984813160556e-10,1829.9295112080824,784.9780144272925,313.37424969533936,1.0100222580426488,3e-07,1.2308925992310662,apd_structure_20260818_00068
