frequency_hz,bias_v,vac_mag_v,dc_current_a,terminal_charge_C,dIdV_S,dQdV_F,dynamic_current_mag_a,ac_current_real_a,ac_current_imag_a,ac_current_mag_a,admittance_mag_s,phase_deg
79432823.47242822,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,3.3489576131132755e-10,-2.9276311913989595e-08,3.3489576131132755e-10,2.9278227310685212e-08,2.927822731068521e-05,179.34461427806468
89125093.8133746,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,3.757592244588149e-10,-2.9276311913989595e-08,3.757592244588149e-10,2.927872323514082e-08,2.927872323514082e-05,179.264653429141
100000000.0,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,4.2160878421698377e-10,-2.9276311913989595e-08,4.2160878421698377e-10,2.9279347555096545e-08,2.927934755509654e-05,179.17493930613355
112201845.43019652,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,4.73052836387271e-10,-2.9276311913989595e-08,4.73052836387271e-10,2.9280133508425522e-08,2.928013350842552e-05,179.07428324218031
125892541.17941661,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,5.30774012286404e-10,-2.9276311913989595e-08,5.307740122864041e-10,2.928112293504687e-08,2.9281122935046867e-05,178.96135211353646
141253754.46227553,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,5.955382368492433e-10,-2.9276311913989595e-08,5.955382368492433e-10,2.9282368501826465e-08,2.928236850182646e-05,178.83465095318164
158489319.2461111,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,6.682048919873031e-10,-2.9276311913989595e-08,6.682048919873031e-10,2.9283936502165907e-08,2.9283936502165906e-05,178.6925035417831
177827941.00389227,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,7.497382200646055e-10,-2.9276311913989595e-08,7.497382200646055e-10,2.928591037826611e-08,2.928591037826611e-05,178.53303076982777
199526231.49688828,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,8.412201188079953e-10,-2.9276311913989595e-08,8.412201188079952e-10,2.9288395151894144e-08,2.9288395151894145e-05,178.3541265562122
223872113.8568338,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,9.438644974326587e-10,-2.9276311913989595e-08,9.438644974326585e-10,2.92915229968454e-08,2.9291522996845397e-05,178.1534311057862
251188643.1509582,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,1.059033384479893e-09,-2.9276311913989595e-08,1.059033384479893e-09,2.9295460245482612e-08,2.9295460245482608e-05,177.92830129470343
281838293.12644494,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,1.1882550011083036e-09,-2.9276311913989595e-08,1.1882550011083036e-09,2.9300416195557155e-08,2.9300416195557155e-05,177.67577799284769
316227766.01683795,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,1.3332440396601188e-09,-2.9276311913989595e-08,1.3332440396601188e-09,2.9306654175366017e-08,2.9306654175366014e-05,177.39255017404372
354813389.23357606,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,1.4959244165867546e-09,-2.9276311913989595e-08,1.4959244165867548e-09,2.93145054392079e-08,2.93145054392079e-05,177.0749157370474
398107170.5534969,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,1.6784548016512326e-09,-2.9276311913989595e-08,1.6784548016512324e-09,2.9324386605799535e-08,2.9324386605799534e-05,176.71873907714118
446683592.1509635,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,1.883257262164428e-09,-2.9276311913989595e-08,1.8832572621644274e-09,2.9336821525187492e-08,2.9336821525187493e-05,176.31940562848052
501187233.6272715,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,2.1130494023466734e-09,-2.9276311913989595e-08,2.1130494023466734e-09,2.9352468670658126e-08,2.9352468670658122e-05,175.8717738670471
562341325.1903491,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,2.370880424284706e-09,-2.9276311913989595e-08,2.370880424284706e-09,2.937215540731503e-08,2.9372155407315027e-05,175.3701256580772
630957344.4801943,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,2.6601715889907137e-09,-2.9276311913989595e-08,2.6601715889907137e-09,2.9396920793989335e-08,2.9396920793989333e-05,174.80811639643358
707945784.3841373,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,2.9847616144573507e-09,-2.9276311913989595e-08,2.9847616144573507e-09,2.9428068933933587e-08,2.9428068933933587e-05,174.17872718347286
794328234.7242821,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,3.3489576131132757e-09,-2.9276311913989595e-08,3.3489576131132753e-09,2.94672353026143e-08,2.9467235302614298e-05,173.47422238459632
891250938.1337441,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,3.757592244588141e-09,-2.9276311913989595e-08,3.757592244588141e-09,2.9516468941284253e-08,2.951646894128425e-05,172.68611740746354
1000000000.0,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,4.216087842169838e-09,-2.9276311913989595e-08,4.216087842169838e-09,2.9578333894560415e-08,2.957833389456041e-05,171.8051635306651
1122018454.3019652,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,4.73052836387271e-09,-2.9276311913989595e-08,4.7305283638727094e-09,2.9656033751778294e-08,2.965603375177829e-05,170.82135919036688
1258925411.794166,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,5.307740122864041e-09,-2.9276311913989595e-08,5.30774012286404e-09,2.9753563559632146e-08,2.9753563559632145e-05,169.72400035690114
1412537544.6227555,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,5.955382368492434e-09,-2.9276311913989595e-08,5.9553823684924346e-09,2.9875893600696865e-08,2.987589360069686e-05,168.5017864726903
1584893192.4611108,-1.0,0.001,0.0004907857469264556,-6.009654478538422e-16,-2.9276311913989594e-05,6.710112205909724e-16,6.682048919873031e-09,-2.9276311913989595e-08,6.6820489198730305e-09,3.0029189417178504e-08,3.0029189417178502e-05,167.14300266117718
