task,scenario,domain,n_seeds,rmse_mean,rmse_std,r2_mean,calibrated_point_coverage_95_mean,calibrated_group_coverage_95_mean,calibrated_mpiw_mean,mean_predictive_std_mean,gaussian_nll_mean,gaussian_crps_mean,interval_score_95_mean,abs_error_std_spearman_mean
capacitance,voltage_extreme_reverse,ood_test,3,1.104768815496632e-18,5.0540571970608566e-20,0.33349743460730163,49.958333333333336,0.0,1.982555827139567e-18,5.05754037535604e-19,-38.88340272038831,7.276037939353411e-19,1.1370918081988465e-17,0.32432686697535257
dark_current,length_high,id_test,3,0.006571681655960777,0.004442617465617338,0.9979441594636942,100.0,100.0,0.1020300401417061,0.02294012694887093,-2.8242865547933076,0.0062384461075524105,0.1020300401417061,0.3387965495476541
dark_current,length_high,ood_test,3,0.015223238057116522,0.002944225279387785,0.9925209994611236,100.0,100.0,0.11110609325012388,0.025165835020945337,-2.5922649825225417,0.009315321772824528,0.11110609325012388,0.10515873188107007
dark_current,temperature_high,id_test,3,0.020900041474862633,0.0295755844078541,0.9691256505452923,97.43589743589745,97.43589743589745,0.07880787755414911,0.020104050396466556,-2.2783489943757687,0.009412316815536363,0.22186897148356954,0.306130541034812
dark_current,temperature_high,ood_test,3,0.03505997801165666,0.018171711758587485,0.9100852971889122,84.79166666666667,75.0,0.10976778812380882,0.02800198676627771,-1.6026083932178594,0.020541654768218443,0.27941546095242004,0.09571303601557844
dark_current,trap_high,id_test,3,0.01676261196189561,0.020908579995093685,0.9832350677571089,97.43589743589745,97.43589743589745,0.1825774258605418,0.04395997765412948,-2.2799556994057686,0.01340810016436105,0.2272611068788499,0.1684819843877281
dark_current,trap_high,ood_test,3,0.022661696828255196,0.005220050060500868,0.9837861858428424,99.44444444444444,94.79166666666667,0.19002866577042984,0.045626062196335526,-2.0337506313297875,0.01679606450750935,0.19121047489387655,0.15319850925278902
dark_current,voltage_extreme_reverse,id_test,3,0.026367190639345783,0.019756236677439736,0.9786507533361007,95.65972222222221,93.75,0.09058589557948989,0.02310864683150247,-2.503912965666219,0.010692559107795596,0.20172867852264256,0.4582169112660392
dark_current,voltage_extreme_reverse,ood_test,3,0.05935189740307833,0.0019671294472971552,0.8654141153124041,45.13888888888889,0.0,0.09545374476786406,0.024350445093842817,0.6961380108121499,0.040145834232699025,0.716955513022007,-0.20686785352438844
photo_current,length_high,id_test,3,0.003589753543536162,0.001352415733840684,0.9714220033587863,100.0,100.0,0.04488449894623006,0.011450127282201494,-3.6258912920846544,0.0032058132506771683,0.04488449894623006,0.05958102411191655
photo_current,length_high,ood_test,3,0.006507410679883392,0.0014365289701853267,0.9127747182982316,92.90364583333333,82.29166666666667,0.04485899756060759,0.011443621826685561,-3.224438346639318,0.004556861160341366,0.054156554680994014,0.05986665674841595
photo_current,temperature_high,id_test,3,0.004481810299885711,0.0007280525944894651,0.9600562259754196,100.0,100.0,0.047088411827183624,0.012012349955914136,-3.43612025015012,0.003473166609295336,0.047088411827183624,-0.11960433413522659
photo_current,temperature_high,ood_test,3,0.006675674185747945,0.0005629441166109915,0.9164729836487618,98.11197916666667,97.91666666666667,0.03992357697699748,0.010184585963519718,-3.45210028520016,0.0039178382997119,0.043235717348634496,0.18920022897807684
photo_current,trap_high,id_test,3,0.00557272966155004,0.0007968667060359556,0.9392080644448194,100.0,100.0,0.06780911861583121,0.017298244544854856,-3.097120863817368,0.0048116859824122934,0.06780911861583121,-0.09289337664623705
photo_current,trap_high,ood_test,3,0.007579313051712037,0.0018072366247854784,0.8820263085011781,99.54427083333333,98.95833333333333,0.06691341162083297,0.01706974786245734,-3.077454230836654,0.005332642805308624,0.06718299748337227,-0.0834462249611853
photo_current,voltage_extreme_reverse,id_test,3,0.004860008146947193,0.0007167029583915748,0.9463045255667234,100.0,100.0,0.04307390868601415,0.010042409152466165,-3.607880157395993,0.0034305268599785685,0.04307390868601415,0.22749098011556304
photo_current,voltage_extreme_reverse,ood_test,3,0.01748685714593969,0.000965905654330927,-6.600340106689618,64.0625,35.416666666666664,0.04386754133384951,0.010150096069305049,-0.3658917728904214,0.011583765375175656,0.15425651523130382,0.27718253968253964
