task,scenario,seed,domain,n_rows,n_groups,rmse,r2,raw_point_coverage_95,calibrated_point_coverage_95,raw_group_coverage_95,calibrated_group_coverage_95,raw_mpiw,calibrated_mpiw,mean_predictive_std,median_predictive_std,mean_epistemic_std,mean_aleatoric_std,gaussian_nll,gaussian_crps,interval_score_95,abs_error_std_spearman,aurc_abs_error
photo_current,length_high,44,id_test,208,13,0.005109566402057716,0.9467883600194289,100.0,100.0,100.0,100.0,0.07588962772555487,0.07588962772555487,0.01935959890958028,0.0193206301666591,0.004109494753772056,0.01890376724557609,-2.9910817620188888,0.005052617753318809,0.07588962772555487,0.13191632928475033,0.0036692048930583596
photo_current,length_high,44,ood_test,512,32,0.004846130066384647,0.9528247654319455,100.0,100.0,100.0,100.0,0.07745247084947318,0.07745247084947318,0.0197582833799676,0.01969355832625585,0.0052961106870642125,0.019015854205987857,-2.9751771530707263,0.005087296753636021,0.07745247084947318,-0.11810365668738054,0.004564483442877579
photo_current,temperature_high,42,id_test,208,13,0.0037714413244478683,0.9723924527146764,100.0,100.0,100.0,100.0,0.044758666507813585,0.044758666507813585,0.011418027170360558,0.0112145738615608,0.002904886547477508,0.011012488435946785,-3.501120643832164,0.0031603742147416005,0.044758666507813585,-0.10949976796658717,0.0035344439555357707
photo_current,temperature_high,42,ood_test,512,32,0.006082393521238057,0.9303502663943312,100.0,100.0,100.0,100.0,0.041844044257371246,0.041844044257371246,0.010674501086064053,0.0108589900336841,0.0042544264568864015,0.009736483755219138,-3.4710131358007823,0.003714659429685064,0.041844044257371246,0.4522063399079892,0.003231877287619976
photo_current,temperature_high,43,id_test,208,13,0.005214996531903309,0.9455983123684331,100.0,100.0,100.0,100.0,0.049204372082915976,0.049204372082915976,0.012552135735437701,0.01253722901334145,0.0030166735943554057,0.012145121450017707,-3.3739425291708285,0.0037725141162529164,0.049204372082915976,-0.18411984659124248,0.004215776924012417
photo_current,temperature_high,43,ood_test,512,32,0.00719173827796196,0.9026270834796037,96.875,96.875,96.875,96.875,0.040552658846641935,0.040552658846641935,0.010345066032306572,0.010327097497367599,0.004417370864398891,0.009293887661151547,-3.404009671746781,0.004129626773363365,0.047245974719175354,-0.00852829490964855,0.005985364461101364
photo_current,temperature_high,44,id_test,208,13,0.004460812599805398,0.9615285305546293,100.0,100.0,100.0,100.0,0.04680906454019789,0.04680906454019789,0.011941087892907567,0.0121017277807912,0.0029091832774665546,0.011553288852635797,-3.441991679904899,0.0034645000816717073,0.04680906454019789,-0.0634291337952665,0.00435040718251095
photo_current,temperature_high,44,ood_test,512,32,0.006737809031973804,0.9145311569118318,97.4609375,97.4609375,96.875,96.875,0.037129558800911316,0.037129558800911316,0.009471826224722233,0.009284727694868,0.0045061784485477575,0.008229705010668768,-3.4854168691165928,0.0038974149510826203,0.04039723750839923,0.1243415151749236,0.005242282475407027
photo_current,trap_high,42,id_test,208,13,0.006091407285092077,0.9284593923041086,100.0,100.0,100.0,100.0,0.0479415927815338,0.0479415927815338,0.012229998158554488,0.01233010720907865,0.002939857780716123,0.011852221759647157,-3.3616264816252226,0.004026402083825898,0.0479415927815338,-0.18072202397145187,0.00532106456860209
photo_current,trap_high,42,ood_test,512,32,0.006414516477358671,0.9180171456252654,98.6328125,98.6328125,96.875,96.875,0.04129701890230893,0.04129701890230893,0.010534953801609364,0.01059893327421985,0.004578604447137167,0.009396689062256195,-3.4486023849357625,0.0038794739404263614,0.04212674419674452,0.12560010185280554,0.004727397702071034
photo_current,trap_high,43,id_test,208,13,0.0059890330242097275,0.928447139487151,100.0,100.0,100.0,100.0,0.07668894351853978,0.07668894351853978,0.01956350599962746,0.019518729788001198,0.0030009765349720305,0.019321196888500987,-2.9685454576974832,0.005292033345879128,0.07668894351853978,0.1817555061262155,0.005237573757247495
photo_current,trap_high,43,ood_test,512,32,0.006683145584665657,0.9110067579606286,100.0,100.0,100.0,100.0,0.07935517369686718,0.07935517369686718,0.020243666759404845,0.02010848633498355,0.0046097205165276075,0.019693209248588778,-2.926013192640888,0.005586626100482982,0.07935517369686718,-0.1195792349023243,0.005692031187814233
photo_current,trap_high,44,id_test,208,13,0.004657212336294725,0.959137310208743,100.0,100.0,100.0,100.0,0.07818631967728763,0.07818631967728763,0.01994548971359374,0.019897700383692152,0.0033414659345295016,0.01965421595288247,-2.9684749255304124,0.005091943351020709,0.07818631967728763,-0.2889522757943811,0.004452650757763187
photo_current,trap_high,44,ood_test,512,32,0.009654545672753497,0.8142799176261346,100.0,100.0,100.0,100.0,0.07941575240934687,0.07941575240934687,0.020259120512588435,0.020186475185578,0.004312579961516464,0.019780567139703054,-2.8657095154702517,0.006506912288596612,0.07941575240934687,-0.24760969561460733,0.008927190839170436
