task,model,fraction,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,wall_time_s,n_train,n_test
Capacitance,mlp_n,0.5,43,5.790694045080691e-19,4.256857281533296e-19,0.9694659760674608,5.790694045080691e-19,4.256857281533296e-19,1.1036680343574137,3.6613960076100356,801,0.7356583001092076,0.7389378999359906,22400,19200
Capacitance,mlp_l,0.5,43,4.1934006098700407e-19,2.875076181227899e-19,0.9839876339006888,4.1934006098700407e-19,2.875076181227899e-19,0.6574665943875968,2.858070236828026,2625,1.6547544000204653,1.6586631999816746,22400,19200
Capacitance,dkan,0.5,44,1.900928609648414e-19,1.0283260227864925e-19,0.9967095566583724,1.900928609648414e-19,1.0283260227864925e-19,0.22637822698970028,0.9523181931808689,1088,2.633758599869907,2.669787700055167,22400,19200
Capacitance,bkan,0.5,44,9.699692595598632e-20,5.482772851389329e-20,0.999143280317703,9.699692595598632e-20,5.482772851389329e-20,0.11182028573981906,0.6147765462241557,1872,155.08379379985854,156.20127089996822,22400,19200
Capacitance,mlp_n,0.5,44,5.342463626402596e-19,3.921536479097139e-19,0.9740100196581598,5.342463626402596e-19,3.921536479097139e-19,0.9995323760144892,3.4086559674371095,801,0.888552299933508,0.8930272997822613,22400,19200
Capacitance,mlp_l,0.5,44,4.275575776748432e-19,2.9999323127055255e-19,0.9833539184152115,4.275575776748432e-19,2.9999323127055255e-19,0.7189925510917787,2.9194591800343384,2625,1.709377699997276,1.713095499901101,22400,19200
Capacitance,dkan,0.8,42,1.4292221011100758e-19,8.224622760694571e-20,0.9981399601455124,1.4292221011100758e-19,8.224622760694571e-20,0.17652341695376406,0.8092597429482983,1088,2.6602489999495447,2.6957149000372738,35840,19200
Capacitance,bkan,0.8,42,8.01202349184995e-20,3.7568008738234004e-20,0.9994154694272522,8.01202349184995e-20,3.7568008738234004e-20,0.05285997891252096,0.48762367457824857,1872,248.9996244001668,250.08114170003682,35840,19200
Capacitance,mlp_n,0.8,42,5.145262991678005e-19,3.74152399482497e-19,0.9758932891436816,5.145262991678005e-19,3.74152399482497e-19,0.921757802827132,3.3998232266677606,801,1.4683478001970798,1.4721621999051422,35840,19200
Capacitance,mlp_l,0.8,42,4.890037467288785e-19,3.5249116986904916e-19,0.978225550882692,4.890037467288785e-19,3.5249116986904916e-19,0.8706053140655059,3.2707267115251812,2625,2.9622678000014275,2.9659084000159055,35840,19200
Capacitance,dkan,0.8,43,1.6516438876351463e-19,9.88865229369965e-20,0.9975159768900503,1.6516438876351463e-19,9.88865229369965e-20,0.22038597145901045,0.954422231681667,1088,3.2516107000410557,3.3004580999258906,35840,19200
Capacitance,bkan,0.8,43,8.676434624598716e-20,4.2404208446999035e-20,0.9993145032491956,8.676434624598716e-20,4.2404208446999035e-20,0.07080979765280446,0.5319818395035911,1872,249.67384260008112,250.77279899991117,35840,19200
Capacitance,mlp_n,0.8,43,5.806525142245824e-19,4.2751851037120166e-19,0.9692987947732831,5.806525142245824e-19,4.2751851037120166e-19,1.1135261609511988,3.684271951434075,801,1.194481800077483,1.1989160999655724,35840,19200
Capacitance,mlp_l,0.8,43,4.2836204855987047e-19,2.954089334218894e-19,0.9832912186205058,4.2836204855987047e-19,2.954089334218894e-19,0.6770544708528543,2.957653192161951,2625,2.86324580013752,2.8683221000246704,35840,19200
Capacitance,dkan,0.8,44,1.7952385452873476e-19,9.721905643735869e-20,0.9970652768919767,1.7952385452873476e-19,9.721905643735869e-20,0.2147449706175079,0.9118754143311887,1088,2.9386974999215454,2.97609160002321,35840,19200
Capacitance,bkan,0.8,44,9.346189286705977e-20,4.510673676233058e-20,0.9992045883493496,9.346189286705977e-20,4.510673676233058e-20,0.06418594308365033,0.6123147525368177,1872,261.8026726001408,263.13905899995007,35840,19200
Capacitance,mlp_n,0.8,44,5.31525336918317e-19,3.8860252129306594e-19,0.9742740900038906,5.31525336918317e-19,3.8860252129306594e-19,0.9830997075417927,3.3942139860113807,801,1.2892171998973936,1.2936996000353247,35840,19200
Capacitance,mlp_l,0.8,44,4.261554492356902e-19,2.9784959677319076e-19,0.9834629174142063,4.261554492356902e-19,2.9784959677319076e-19,0.7125526277749334,2.9019593797202763,2625,2.7454698998481035,2.7518514001276344,35840,19200
Capacitance,dkan,1.0,42,1.357856690874807e-19,7.821327746960912e-20,0.9983210773958443,1.357856690874807e-19,7.821327746960912e-20,0.17576770766879904,0.7565919864026712,1088,3.379551799967885,3.418284799903631,44800,19200
Capacitance,bkan,1.0,42,5.921431600570991e-20,2.8082485035772654e-20,0.999680716675315,5.921431600570991e-20,2.8082485035772654e-20,0.04906020799166805,0.30552646594859095,1872,325.06035560020246,326.1254328000359,44800,19200
Capacitance,mlp_n,1.0,42,5.134591791759513e-19,3.7370750667060635e-19,0.9759931793796284,5.134591791759513e-19,3.7370750667060635e-19,0.9190134776471686,3.383418418719337,801,1.820484799798578,1.8254701998084784,44800,19200
Capacitance,mlp_l,1.0,42,4.897107454273853e-19,3.541150616321804e-19,0.9781625426299618,4.897107454273853e-19,3.541150616321804e-19,0.880496520159622,3.268481235293309,2625,4.074882399989292,4.079078799812123,44800,19200
Capacitance,dkan,1.0,43,1.6918436081978383e-19,1.025099164468196e-19,0.997393587001145,1.6918436081978383e-19,1.025099164468196e-19,0.22354059998033127,1.0060463356694713,1088,3.035112499957904,3.0756121000740677,44800,19200
Capacitance,bkan,1.0,43,8.300658998860945e-20,3.874995498404472e-20,0.9993725950384738,8.300658998860945e-20,3.874995498404472e-20,0.04902200372896707,0.5307085602557088,1872,325.39724559988827,326.9399502999149,44800,19200
Capacitance,mlp_n,1.0,43,5.79963464878593e-19,4.261579702202774e-19,0.9693716166175222,5.79963464878593e-19,4.261579702202774e-19,1.1032460249514275,3.6750445671500893,801,1.7014541998505592,1.7081907000392675,44800,19200
Capacitance,mlp_l,1.0,43,4.2953307267053443e-19,2.969105337230143e-19,0.9831997393193784,4.2953307267053443e-19,2.969105337230143e-19,0.6863157475751905,2.969469164664882,2625,3.862067300127819,3.866517100017518,44800,19200
