task,model,fraction,n_seeds,n_train_mean,rmse_target_mean,rmse_target_std,mae_target_mean,mae_target_std,r2_target_mean,r2_target_std,rmse_raw_mean,rmse_raw_std,mae_raw_mean,mae_raw_std,medape_percent_mean,medape_percent_std,p95ape_percent_mean,p95ape_percent_std,param_count_mean,param_count_std,train_time_s_mean,train_time_s_std,n_train_std
Capacitance,dkan,0.25,3,11200.0,1.747473586685532e-19,2.6126467268466916e-20,1.0178665671673128e-19,1.6982850284443128e-20,0.9971572084666813,0.0008754159578473483,1.747473586685532e-19,2.6126467268466916e-20,1.0178665671673128e-19,1.6982850284443128e-20,0.2283456833391513,0.04600520182328571,0.9972007341334018,0.16073070032479797,1088.0,0.0,2.735878700002407,0.18924616591455642,0.0
Capacitance,bkan,0.25,3,11200.0,1.3297669272129496e-19,1.4070987339185927e-20,7.877448509467482e-20,1.1397615453236009e-20,0.9983717931013948,0.00035090866652531425,1.3297669272129496e-19,1.4070987339185927e-20,7.877448509467482e-20,1.1397615453236009e-20,0.1706900813912806,0.04251105737731762,0.8216377654534058,0.06291419133940188,1872.0,0.0,75.613360966711,1.5358342499319961,0.0
Capacitance,mlp_n,0.25,3,11200.0,5.409701631635794e-19,3.047617008476844e-20,3.952963915286106e-19,2.6040817192951177e-20,0.9732671296493528,0.0030595168759553737,5.409701631635794e-19,3.047617008476844e-20,3.952963915286106e-19,2.6040817192951177e-20,1.0026944326076077,0.09154744574687353,3.464323395510507,0.14111162079066805,801.0,0.0,0.5538706666945169,0.05473374434245572,0.0
Capacitance,mlp_l,0.25,3,11200.0,4.432986226906618e-19,2.617698911614488e-20,3.1160628532028014e-19,2.2951654473140742e-20,0.9820432680770482,0.0021569624076553493,4.432986226906618e-19,2.617698911614488e-20,3.1160628532028014e-19,2.2951654473140742e-20,0.7420694849466153,0.07137080138261234,2.9827079632851317,0.15339593406140808,2625.0,0.0,0.8438991666771472,0.0789813569535544,0.0
Capacitance,dkan,0.5,3,22400.0,1.6684651812392108e-19,1.714750323826982e-20,9.621701552639381e-20,5.878135035470207e-21,0.9974383470876803,0.0005334975293775758,1.6684651812392108e-19,1.714750323826982e-20,9.621701552639381e-20,5.878135035470207e-21,0.22073627659822107,0.007174735883602672,0.9061502421398281,0.043863483425061967,1088.0,0.0,2.8567794000264257,0.18123059984294326,0.0
Capacitance,bkan,0.5,3,22400.0,9.655366962388389e-20,2.6504877225696263e-21,5.3047938327094364e-20,1.259977025020745e-21,0.9991504528009799,4.645105261785953e-05,9.655366962388389e-20,2.6504877225696263e-21,5.3047938327094364e-20,1.259977025020745e-21,0.10344139780573847,0.007288408372891185,0.6040583562155422,0.020560162008670526,1872.0,0.0,153.50353549995148,1.2170386849144155,0.0
Capacitance,mlp_n,0.5,3,22400.0,5.434822561581171e-19,2.611599438390624e-20,3.98214177596497e-19,2.041117279644235e-20,0.973041531602865,0.002615299048920375,5.434822561581171e-19,2.611599438390624e-20,3.98214177596497e-19,2.041117279644235e-20,1.012590220033654,0.06964862123246929,3.491279781449044,0.12030675684653909,801.0,0.0,0.8117397333650539,0.062420855021960396,0.0
Capacitance,mlp_l,0.5,3,22400.0,4.4544450278096705e-19,3.1286974568045354e-20,3.135631047797204e-19,2.847922646583719e-20,0.9818428676313115,0.0025979668427970446,4.4544450278096705e-19,3.1286974568045354e-20,3.135631047797204e-19,2.847922646583719e-20,0.751688988673472,0.09319389554064969,3.016608451942419,0.1825271100446855,2625.0,0.0,1.7145151666676004,0.051021314114036265,0.0
Capacitance,dkan,0.8,3,35840.0,1.6253681780108564e-19,1.5057626869073908e-20,9.278393566043365e-20,7.482316013876176e-21,0.9975737379758464,0.0004406346038248455,1.6253681780108564e-19,1.5057626869073908e-20,9.278393566043365e-20,7.482316013876176e-21,0.20388478634342747,0.019483986994138985,0.8918524629870513,0.06093015656861341,1088.0,0.0,2.9501857333040484,0.24155903310711815,0.0
Capacitance,bkan,0.8,3,35840.0,8.678215801051547e-20,5.446723611390126e-21,4.1692984649187876e-20,3.118491571604715e-21,0.9993115203419324,8.611767358738224e-05,8.678215801051547e-20,5.446723611390126e-21,4.1692984649187876e-20,3.118491571604715e-21,0.06261857321632525,0.007411319469928288,0.5439734222062191,0.05160629659516988,1872.0,0.0,253.4920465334629,5.882942674114913,0.0
