seed,task,model,mae_log,rmse_log,mae_linear,mae_model_space,rmse_model_space,r2_model_space,picp_95,mpiw_log,mean_std_log,raw_picp_95,calibrated_picp_95,raw_mpiw_log,calibrated_mpiw_log,raw_gaussian_nll_model_space,calibrated_gaussian_nll_model_space,raw_interval_score_95,calibrated_interval_score_95,raw_curve_coverage_95,calibrated_curve_coverage_95,mpiw_model_space,mean_std_model_space,calibration_z,calibration_raw_quantile,calibration_std_scale_vs_normal,calibration_unit,calibration_score_count,derivative_mae_model_space,derivative_rmse_model_space,inference_method,comparison_eligible,comparison_status,hmc_acceptance_rate,train_curve_count,validation_curve_count,calibration_curve_count,test_curve_count,train_samples,validation_samples,calibration_samples,test_samples,train_fraction,validation_fraction,calibration_fraction,test_fraction,split_seed,run_label,raw_curve_coverage_95_wilson_low,raw_curve_coverage_95_wilson_high,calibrated_curve_coverage_95_wilson_low,calibrated_curve_coverage_95_wilson_high
45,I_photo,bayesian_kan_vi,0.0045393846487567,0.0056632104153617,5.166039442423427e-06,0.0045393846487567,0.0056632104153617,0.9388419237715432,94.921875,0.0229243668444974,0.0058480527664534,94.921875,94.921875,0.0229243668444976,0.0229243668444974,-3.765388516222676,-3.7653884730530423,0.0262146677228147,0.026214664133661,93.75,93.75,0.0229243668444974,0.0058480527664534,1.96,1.8219721857019024,1.0,curve,24.0,0.0033064704874028,0.013804790133744,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,45,confirmatory,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576
45,AC_Response,bayesian_kan_vi,0.0306427064220132,0.050212958032314,0.0306426182865197,0.0306427064220132,0.050212958032314,0.9995714692029616,100.0,0.5363175917003294,0.1368157121684514,100.0,100.0,0.5363175917003297,0.5363175917003294,-1.276013823483601,-1.276013829998362,0.5363175917003297,0.5363175917003294,100.0,100.0,0.5363175917003294,0.1368157121684514,1.96,0.8915577865140399,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,45,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
46,I_dark,bayesian_kan_vi,0.0020177888087011,0.0030421009806297,1.495940436800645e-09,0.0020177888087011,0.0030421009806297,0.9996263411337362,100.0,0.0713392586152426,0.0181987904630721,100.0,100.0,0.0713392586152428,0.0713392586152426,-3.102944643055042,-3.1029447623739714,0.0713392586152428,0.0713392586152426,100.0,100.0,0.0713392586152426,0.0181987904630721,1.96,0.9670244102908252,1.0,curve,24.0,0.0174608963229562,0.0468727108349331,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,46,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
46,I_photo,bayesian_kan_vi,0.005444579252427,0.0065753823354068,6.215364545894459e-06,0.005444579252427,0.0065753823354068,0.9166839919527404,100.0,0.0334821867113046,0.0046067434107841,85.546875,100.0,0.0180584341702737,0.0334821867113046,-3.395715099795068,-3.5444125780923947,0.0366778580255428,0.0334821867113046,81.25,100.0,0.0334821867113046,0.0046067434107841,3.634040766512528,3.634040766512528,1.8541024318941468,curve,24.0,0.002026563886184,0.0044847537590441,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,46,confirmatory,56.991119038025865,93.40840092857187,80.63923194655636,100.00000000000003
46,AC_Response,bayesian_kan_vi,0.0266856978987648,0.0437145235764253,0.0266857084102174,0.0266856978987648,0.0437145235764253,0.9996813860578988,100.0,0.4330111610225424,0.1104620308730975,100.0,100.0,0.4330111610225425,0.4330111610225424,-1.3856961209026717,-1.3856961198114424,0.4330111610225425,0.4330111610225424,100.0,100.0,0.4330111610225424,0.1104620308730975,1.96,0.96854635561909,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,46,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
47,I_dark,bayesian_kan_vi,0.0029233760698998,0.0045040390640869,2.709816404614691e-09,0.0029233760698998,0.0045040390640869,0.9993468826847292,100.0,0.1550811783057894,0.0209074406925755,100.0,100.0,0.0819571675148961,0.1550811783057894,-2.9688649458507927,-2.3423459371406308,0.0819571675148961,0.1550811783057894,100.0,100.0,0.1550811783057894,0.0209074406925755,3.708755667087957,3.708755667087957,1.8922222791265089,curve,24.0,0.017895698192329,0.0421888351952287,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,47,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
47,I_photo,bayesian_kan_vi,0.0036322068898206,0.0043385252483977,4.159730605412071e-06,0.0036322068898206,0.0043385252483977,0.963831383506203,100.0,0.038145870913719,0.0042556528797296,91.40625,100.0,0.0166821592885401,0.038145870913719,-3.99699294747899,-3.626095514253317,0.0183414565523021,0.038145870913719,87.5,100.0,0.038145870913719,0.0042556528797296,4.48178834032898,4.48178834032898,2.28662670424948,curve,24.0,0.0016852159659293,0.0038440921117733,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,47,confirmatory,63.97717273424131,96.50225122567595,80.63923194655636,100.00000000000003
47,AC_Response,bayesian_kan_vi,0.0388672281433866,0.0862400923897199,0.0388672254549202,0.0388672281433866,0.0862400923897199,0.99876129336528,99.10714285714286,0.515251354989919,0.1314416721913059,99.10714285714286,99.10714285714286,0.515251354989919,0.515251354989919,-1.1917680989786317,-1.1917681090545027,0.5289993824685084,0.528999360724734,93.75,93.75,0.515251354989919,0.1314416721913059,1.96,1.3399938363534634,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,47,confirmatory,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576
48,I_dark,bayesian_kan_vi,0.0023087588011469,0.0035564336476848,1.2644319929234187e-09,0.0023087588011469,0.0035564336476848,0.9996013530652088,100.0,0.0834399693000588,0.0212857064540966,100.0,100.0,0.083439969300059,0.0834399693000588,-2.971771798529232,-2.971771802715806,0.083439969300059,0.0834399693000588,100.0,100.0,0.0834399693000588,0.0212857064540966,1.96,0.7535213306519075,1.0,curve,24.0,0.0177236712677882,0.0452386348212181,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,48,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
48,I_photo,bayesian_kan_vi,0.0038777968856057,0.0047141374057359,4.43392017948209e-06,0.0038777968856057,0.0047141374057359,0.9566786925373286,100.0,0.0574324913823837,0.0146511457608122,100.0,100.0,0.0574324913823839,0.0574324913823837,-3.2566095508646287,-3.2566095940886743,0.0574324913823839,0.0574324913823837,100.0,100.0,0.0574324913823837,0.0146511457608122,1.96,0.5761183188798149,1.0,curve,24.0,0.0027186078476816,0.0067802185019871,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,48,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
48,AC_Response,bayesian_kan_vi,0.0268065983506612,0.0519648312020158,0.0268066021347764,0.0268065983506612,0.0519648312020158,0.999547365547752,100.0,0.4894813593200764,0.1248676937041011,100.0,100.0,0.4894813593200766,0.4894813593200764,-1.3026582577165196,-1.302658250968261,0.4894813593200766,0.4894813593200764,100.0,100.0,0.4894813593200764,0.1248676937041011,1.96,0.6870059794607855,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,48,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
49,I_dark,bayesian_kan_vi,0.002080008134411,0.0028203977378601,1.3819860267836147e-09,0.002080008134411,0.0028203977378601,0.9997256024797962,100.0,0.137616337196457,0.0193140230904926,100.0,100.0,0.0757109705147312,0.137616337196457,-3.0417128095372514,-2.449918178575435,0.0757109705147312,0.137616337196457,100.0,100.0,0.137616337196457,0.0193140230904926,3.5626015499639494,3.5626015499639494,1.8176538520224232,curve,24.0,0.0186833367272578,0.048613267263911,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,49,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
49,I_photo,bayesian_kan_vi,0.0035663665395901,0.0043801268543335,4.036033578496045e-06,0.0035663665395901,0.0043801268543335,0.962942971151166,100.0,0.0626621287164049,0.0159852369174502,100.0,100.0,0.0626621287164051,0.0626621287164049,-3.1806553634520904,-3.1806554397128006,0.0626621287164051,0.0626621287164049,100.0,100.0,0.0626621287164049,0.0159852369174502,1.96,0.9975213565212426,1.0,curve,24.0,0.0023203844788279,0.0056305876597746,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,49,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
49,AC_Response,bayesian_kan_vi,0.0454733831715892,0.0962448711805278,0.0454734094697169,0.0454733831715892,0.0962448711805278,0.9984586196123588,99.10714285714286,0.5443257543762864,0.1388586108102772,99.10714285714286,99.10714285714286,0.5443257543762866,0.5443257543762864,-1.13097542967391,-1.130975426754143,0.5583700751351897,0.5583701060941826,93.75,93.75,0.5443257543762864,0.1388586108102772,1.96,0.7714759039134844,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,49,confirmatory,71.67126242970106,98.88806552353576,71.67126242970106,98.88806552353576
50,I_dark,bayesian_kan_vi,0.0027731435630774,0.0035538954422522,1.938863928656309e-09,0.0027731435630774,0.0035538954422522,0.9995379698948784,100.0,0.0779513612852183,0.01988555134827,100.0,100.0,0.0779513612852185,0.0779513612852183,-3.0139073255270614,-3.0139073529780918,0.0779513612852185,0.0779513612852183,100.0,100.0,0.0779513612852183,0.01988555134827,1.96,1.5869556234135185,1.0,curve,24.0,0.0182038991762552,0.0455543419261155,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,50,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
50,I_photo,bayesian_kan_vi,0.0050992929802476,0.0063329646036043,5.7956002680158045e-06,0.0050992929802476,0.0063329646036043,0.9225313491441536,100.0,0.0786804410692768,0.0200715410891012,100.0,100.0,0.078680441069277,0.0786804410692768,-2.939802731659684,-2.9398027416431933,0.078680441069277,0.0786804410692768,100.0,100.0,0.0786804410692768,0.0200715410891012,1.96,0.4655046604572901,1.0,curve,24.0,0.0029412846685546,0.0067302730951679,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,50,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
50,AC_Response,bayesian_kan_vi,0.0320805396864004,0.0573756101666847,0.0320804084985459,0.0320805396864004,0.0573756101666847,0.999439431923002,100.0,0.5440610578094118,0.1387910861758704,100.0,100.0,0.5440610578094122,0.5440610578094118,-1.1482504585827151,-1.1482504647295464,0.5440610578094122,0.5440610578094118,100.0,100.0,0.5440610578094118,0.1387910861758704,1.96,0.9049158835552265,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,50,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
51,I_dark,bayesian_kan_vi,0.004067372324128,0.009599554175045,1.907797305573688e-09,0.004067372324128,0.009599554175045,0.99752468679675,100.0,0.0982316080763958,0.0250590836929581,100.0,100.0,0.098231608076396,0.0982316080763958,-2.854399231512008,-2.85439926898075,0.098231608076396,0.0982316080763958,100.0,100.0,0.0982316080763958,0.0250590836929581,1.96,0.899966639491376,1.0,curve,24.0,0.0308773809690323,0.1104950648584743,vi,True,eligible,,104,16,24,16,1560,240,360,240,0.65,0.1,0.15,0.1,51,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
51,I_photo,bayesian_kan_vi,0.0039292763368091,0.0051011999013765,4.487785541020935e-06,0.0039292763368091,0.0051011999013765,0.9506193109085688,100.0,0.0538020467954378,0.0137250119376117,100.0,100.0,0.0538020467954379,0.0538020467954378,-3.3115187186729043,-3.3115187334455323,0.0538020467954379,0.0538020467954378,100.0,100.0,0.0538020467954378,0.0137250119376117,1.96,0.9457880324848316,1.0,curve,24.0,0.0042197335036179,0.0123968793647714,vi,True,eligible,,104,16,24,16,1664,256,384,256,0.65,0.1,0.15,0.1,51,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
51,AC_Response,bayesian_kan_vi,0.0315031719827755,0.0544506369773086,0.0315032121636667,0.0315031719827755,0.0544506369773086,0.9995023488316336,100.0,0.5575361029465887,0.1422285976904563,100.0,100.0,0.5575361029465887,0.5575361029465887,-1.1078274985641945,-1.1078274974696982,0.5575361029465887,0.5575361029465887,100.0,100.0,0.5575361029465887,0.1422285976904563,1.96,1.4711655665799594,1.0,curve,24.0,,,vi,True,eligible,,104,16,24,16,2912,448,672,448,0.65,0.1,0.15,0.1,51,confirmatory,80.63923194655636,100.00000000000003,80.63923194655636,100.00000000000003
