dark_voltage,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,dark_current,tcad_model_space,bnn_model_space,formula_model_space,formula_minus_bnn,bnn_minus_tcad,formula_minus_tcad,formula_is_finite
-1.2000000000000002,1.0109417900146311e-09,2546.474062846718,483.0790058826933,38.96317500489286,311.33012415162744,5.681032001811463e-07,-6.245572764292362,-6.2639675,-6.2621242296692925,0.0018432843687934408,-0.01839474974572397,-0.01655146537693053,True
-0.2,8.64757430416121e-10,2613.398572092139,483.2695161383806,39.73131063338137,294.42197627514213,1.0260972942511723e-07,-6.988811457593531,-6.9861407,-6.983420498856518,0.002720229140308561,0.0026707295967050015,0.0053909587370135625,True
-0.4,1.011801650795657e-09,2503.197375042157,521.464297637573,42.04226242943757,288.6545802497056,9.539640894045553e-08,-7.0204679733745,-7.027253,-7.04405406548914,-0.016800914549198964,-0.0067851775654412805,-0.023586092114640245,True
-0.2,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431,1.5690402792438572e-07,-6.804365907382594,-6.799785,-6.788082802539899,0.011702334636614964,0.004580770206080054,0.016283104842695018,True
-2.6,9.676899592457672e-10,2498.119875502734,535.4265253830317,42.346830624956574,300.5747457097431,4.147103153833094e-07,-6.382255161987481,-6.384581,-6.397734467399123,-0.01315337837934738,-0.002325927032294395,-0.015479305411641775,True
-2.0,9.980121445569454e-10,2387.75545073954,508.7275610680178,38.8972081784186,297.8606493603604,2.856077605533361e-07,-6.544229996056577,-6.541971,-6.517045969251887,0.02492523741315189,0.0022587893915382296,0.02718402680469012,True
-1.4,9.973807555784963e-10,2483.6702561944007,499.2076886794748,40.248277237816566,302.09732544564235,3.488228866034492e-07,-6.457395028328032,-6.4602175,-6.454616484304073,0.005600991587040305,-0.002822447563080921,0.002778544023959384,True
-0.6000000000000001,1.0727653122619132e-09,2512.3283017034155,474.34077412964,42.74916053103488,290.5746947786968,1.291650084719661e-07,-6.888855123227766,-6.888146,-6.902224184753696,-0.014078261139194304,0.0007091996132642109,-0.013369061525930093,True
-0.6000000000000001,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,1.877488899510572e-07,-6.726422622044463,-6.7244053,-6.7370238209190845,-0.012618532222795409,0.0020173333481743327,-0.010601198874621076,True
-1.0,1.1065063764088474e-09,2603.202340784687,488.6799605874269,40.68035124967265,296.73843693227377,2.251110447603418e-07,-6.647603196421971,-6.647749,-6.6478556362863035,-0.00010668914274880592,-0.00014575072158340419,-0.0002524398643322101,True
-0.4,1.0511173572717443e-09,2495.130349883853,523.8477826070769,41.27631172344517,301.59948365785385,2.174433710430256e-07,-6.662653827655198,-6.6657176,-6.67087511640738,-0.005157514631257243,-0.0030637741209247338,-0.008221288752181977,True
