nominal_structure_id,process_variant_id,process_variant_index,process_variant_role,dataset_role,split,operating_case_id,actual_core_width_nm,actual_coupling_gap_nm,actual_ring_radius_um,actual_core_thickness_nm,delta_material_index,bias_v,temperature_c,resonance_shift_pm,quality_factor,drop_extinction_ratio_db,through_insertion_loss_db
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t40|v-2,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-2.0,40.0,1096.5941877607293,31666.89503904009,42.32058103664362,0.0002369912794502
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t40|v-4,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-4.0,40.0,1112.5810522883055,32618.513034709737,42.57782920259847,0.0002260349774397
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t40|v-10,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-10.0,40.0,1137.9440364548827,34505.132358633164,43.066336080013,0.0002061016818923
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t60|v0,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,0.0,60.0,2147.1387009057707,29719.329649978557,41.775150110975154,0.0002613231112759
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t60|v-1,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-1.0,60.0,2159.714970462346,30519.55020437312,42.00598774212269,0.000250838598261
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t60|v-2,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-2.0,60.0,2170.163538213501,31137.45618639528,42.1801353072244,0.0002431112858834
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t60|v-4,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-4.0,60.0,2186.1504027410774,32116.89850561885,42.44921812105227,0.000231472012432
ring_cv_dev_20260912_0000,ring_cv_dev_20260912_0000|p02,2,fabrication_realization,development,train,ring_cv_dev_20260912_0000|p02|t60|v-10,443.402501578667,393.340282915644,9.86436336231555,120.79626871867708,-0.0002830666988855,-10.0,60.0,2211.5133869076544,34066.432299159154,42.96119325351612,0.0002102978124404
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t20|v0,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,0.0,20.0,0.0,37820.454091598935,43.90630413983432,0.0001557387302474
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t20|v-1,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-1.0,20.0,12.570146248890524,38967.99914394861,44.16599147601837,0.0001489133245371
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t20|v-2,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-2.0,20.0,23.02034218860172,39851.31733813409,44.36073406489325,0.000143927115094
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t20|v-4,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-4.0,20.0,39.02835185203912,41261.472600910056,44.66285363601632,0.0001364095124384
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t20|v-10,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-10.0,20.0,64.5370974727939,44126.63946354877,45.24610010690701,0.000122615912053
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t40|v0,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,0.0,40.0,1074.7567307530517,37003.04648948805,43.722529147289805,0.0001606937214994
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t40|v-1,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-1.0,40.0,1087.3268770019422,38172.3044684662,43.99280616306665,0.0001534424793904
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t40|v-2,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-2.0,40.0,1097.7770729416534,39074.24505641698,44.19570093577619,0.0001481453949827
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t40|v-4,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-4.0,40.0,1113.7850826050908,40517.58161999218,44.51083713472358,0.0001401594343137
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t40|v-10,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-10.0,40.0,1139.2938282258456,43463.30581105333,45.120544212540686,0.0001255075391202
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t60|v0,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,0.0,60.0,2149.513461506104,36172.88439302146,43.53144899548487,0.0001659580665434
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t60|v-1,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-1.0,60.0,2162.083607754994,37362.33076873227,43.81252346736865,0.0001582541699449
ring_cv_dev_20260912_0001,ring_cv_dev_20260912_0001|p00,0,nominal,development,validation,ring_cv_dev_20260912_0001|p00|t60|v-2,430.71790076585273,385.1806018582748,9.824529226471697,120.0,0.0,-2.0,60.0,2172.533803694705,38281.82860648649,44.02374747238065,0.0001526266599937
