task,term
I_photo,residual_branch:soft_reverse_light_voltage
I_photo,residual_branch:surface_recomb_over_length
I_photo,residual_branch:surface_recomb_sum_z
I_photo,residual_branch:tanh_reverse_light_voltage
I_photo,residual_branch:temperature_z
I_photo,residual_branch:thermal_surface_recomb_over_length
I_photo,residual_branch:trap_A_times_length
I_photo,residual_branch:trap_A_z
AC_Response,floor:1
AC_Response,floor:scaled(active_layer_length)
AC_Response,floor:scaled(active_layer_length)*scaled(simulation_temperature)
AC_Response,floor:scaled(active_layer_length)^2
AC_Response,floor:scaled(simulation_temperature)
AC_Response,floor:scaled(simulation_temperature)^2
AC_Response,logfc:1
AC_Response,logfc:scaled(simulation_temperature)
AC_Response,logfc:scaled(simulation_temperature)^2
AC_Response,y0:1
Capacitance,mechanism:symbolic_response:bias_curvature_z3
Capacitance,mechanism:symbolic_response:bias_depletion_knee
Capacitance,mechanism:symbolic_response:bias_forward_softplus2
Capacitance,mechanism:symbolic_response:bias_reverse_exponential
Capacitance,mechanism:symbolic_response:bias_reverse_softplus2
Capacitance,mechanism:symbolic_response:bias_signed_log_curvature
Capacitance,mechanism:symbolic_response:bias_v_over_length
Capacitance,mechanism:symbolic_response:bias_v_over_temperature
Capacitance,mechanism:symbolic_response:bias_v_z
Capacitance,mechanism:symbolic_response:bias_v_z2
Capacitance,mechanism:symbolic_response:depletion_knee_times_log_frequency
Capacitance,mechanism:symbolic_response:forward_gate_bias_v
Capacitance,mechanism:symbolic_response:ge_si_velocity_over_length
Capacitance,mechanism:symbolic_response:ge_si_velocity_z
Capacitance,mechanism:symbolic_response:ge_sio2_velocity_over_length
Capacitance,mechanism:symbolic_response:ge_sio2_velocity_z
Capacitance,mechanism:symbolic_response:inverse_length
Capacitance,mechanism:symbolic_response:length_z
Capacitance,mechanism:symbolic_response:one
Capacitance,mechanism:symbolic_response:reverse_gate_bias_v
Capacitance,mechanism:symbolic_response:reverse_saturation_bias_v
Capacitance,mechanism:symbolic_response:soft_reverse_bias_v
Capacitance,mechanism:symbolic_response:tanh_reverse_bias_v
Capacitance,mechanism:symbolic_response:temperature_z
