task,branch,role,drive,candidate_index,candidate_name,allowed
I_photo,surface_recombination,surface_loss,reverse,4,tanh_reverse_light_voltage,True
I_photo,surface_recombination,surface_loss,reverse,5,reverse_saturation_light_voltage,True
I_photo,surface_recombination,surface_loss,reverse,6,forward_gate_light_voltage,False
I_photo,surface_recombination,surface_loss,reverse,7,reverse_gate_light_voltage,True
I_photo,surface_recombination,surface_loss,reverse,8,temperature_z,True
I_photo,surface_recombination,surface_loss,reverse,9,inverse_temperature,True
I_photo,surface_recombination,surface_loss,reverse,10,light_voltage_over_temperature,True
I_photo,surface_recombination,surface_loss,reverse,11,length_z,True
I_photo,surface_recombination,surface_loss,reverse,12,inverse_length,True
I_photo,surface_recombination,surface_loss,reverse,13,light_voltage_over_length,True
I_photo,surface_recombination,surface_loss,reverse,14,trap_A_z,False
I_photo,surface_recombination,surface_loss,reverse,15,ge_sio2_velocity_z,True
I_photo,surface_recombination,surface_loss,reverse,16,ge_si_velocity_z,True
I_photo,surface_recombination,surface_loss,reverse,17,ge_sio2_velocity_over_length,True
I_photo,surface_recombination,surface_loss,reverse,18,ge_si_velocity_over_length,True
I_photo,surface_recombination,surface_loss,reverse,19,reverse_drive_over_length,True
I_photo,surface_recombination,surface_loss,reverse,20,surface_recomb_sum_z,True
I_photo,surface_recombination,surface_loss,reverse,21,surface_recomb_over_length,True
I_photo,surface_recombination,surface_loss,reverse,22,reverse_drive_surface_recomb,True
I_photo,surface_recombination,surface_loss,reverse,23,reverse_drive_trap_A,False
I_photo,surface_recombination,surface_loss,reverse,24,collection_saturation_length,False
I_photo,surface_recombination,surface_loss,reverse,25,length_collection_saturation,False
I_photo,surface_recombination,surface_loss,reverse,26,thermal_surface_recomb_over_length,True
I_photo,surface_recombination,surface_loss,reverse,27,reverse_thermal_surface_recomb,True
I_photo,surface_recombination,surface_loss,reverse,28,trap_A_times_length,False
I_photo,surface_recombination,surface_loss,reverse,29,trap_A_over_temperature,False
I_photo,trap_recombination,trap_loss,reverse,0,one,True
I_photo,trap_recombination,trap_loss,reverse,1,light_voltage_z,True
I_photo,trap_recombination,trap_loss,reverse,2,light_voltage_z2,True
I_photo,trap_recombination,trap_loss,reverse,3,soft_reverse_light_voltage,True
I_photo,trap_recombination,trap_loss,reverse,4,tanh_reverse_light_voltage,True
I_photo,trap_recombination,trap_loss,reverse,5,reverse_saturation_light_voltage,True
I_photo,trap_recombination,trap_loss,reverse,6,forward_gate_light_voltage,False
I_photo,trap_recombination,trap_loss,reverse,7,reverse_gate_light_voltage,True
I_photo,trap_recombination,trap_loss,reverse,8,temperature_z,True
I_photo,trap_recombination,trap_loss,reverse,9,inverse_temperature,True
I_photo,trap_recombination,trap_loss,reverse,10,light_voltage_over_temperature,True
I_photo,trap_recombination,trap_loss,reverse,11,length_z,True
I_photo,trap_recombination,trap_loss,reverse,12,inverse_length,True
I_photo,trap_recombination,trap_loss,reverse,13,light_voltage_over_length,True
I_photo,trap_recombination,trap_loss,reverse,14,trap_A_z,True
I_photo,trap_recombination,trap_loss,reverse,15,ge_sio2_velocity_z,False
I_photo,trap_recombination,trap_loss,reverse,16,ge_si_velocity_z,False
I_photo,trap_recombination,trap_loss,reverse,17,ge_sio2_velocity_over_length,False
I_photo,trap_recombination,trap_loss,reverse,18,ge_si_velocity_over_length,False
I_photo,trap_recombination,trap_loss,reverse,19,reverse_drive_over_length,True
I_photo,trap_recombination,trap_loss,reverse,20,surface_recomb_sum_z,False
I_photo,trap_recombination,trap_loss,reverse,21,surface_recomb_over_length,False
I_photo,trap_recombination,trap_loss,reverse,22,reverse_drive_surface_recomb,False
I_photo,trap_recombination,trap_loss,reverse,23,reverse_drive_trap_A,True
I_photo,trap_recombination,trap_loss,reverse,24,collection_saturation_length,False
I_photo,trap_recombination,trap_loss,reverse,25,length_collection_saturation,False
I_photo,trap_recombination,trap_loss,reverse,26,thermal_surface_recomb_over_length,False
I_photo,trap_recombination,trap_loss,reverse,27,reverse_thermal_surface_recomb,False
I_photo,trap_recombination,trap_loss,reverse,28,trap_A_times_length,True
