sample_id,terminal_charge_bias_v,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,compact_port_dQdV_from_dc_F,compact_port_capacitance_from_two_contact_ssac_F,compact_port_dQdV_small_signal_relative_error,compact_port_dQdV_small_signal_validation_pass,strict_terminal_charge_both_contacts_dQdV_pass,production_source_row,split
6,-1.5,1.0933784852654091e-09,2410.884334287086,539.0569290920441,39.62193192256099,289.3285700165644,9.004070478581933e-16,8.994395998856252e-16,0.0010744562416179,1,1,99,train
6,0.0,1.0933784852654091e-09,2410.884334287086,539.0569290920441,39.62193192256099,289.3285700165644,4.667665206729396e-16,4.629366321731086e-16,0.0082051482490853,1,1,99,train
7,-3.0,8.220747042076194e-10,2489.354974528123,536.8974000619587,36.589080383233394,294.68809277779184,1.422601856727634e-15,1.4254299735608948e-15,0.0019840447343729,1,1,68,train
7,-1.5,8.220747042076194e-10,2489.354974528123,536.8974000619587,36.589080383233394,294.68809277779184,8.409243517495015e-16,8.39997965084894e-16,0.0011016290141678,1,1,68,train
7,0.0,8.220747042076194e-10,2489.354974528123,536.8974000619587,36.589080383233394,294.68809277779184,4.317135947845785e-16,4.2749504108952765e-16,0.0097716489497067,1,1,68,train
57,-3.0,9.979877857013672e-10,2496.537246315292,510.00187244466247,38.795972505421744,297.7961123434831,1.50128529712351e-15,1.5042325183932082e-15,0.0019592857046105,1,1,57,test
57,-1.5,9.979877857013672e-10,2496.537246315292,510.00187244466247,38.795972505421744,297.7961123434831,8.888438396165503e-16,8.878457883960347e-16,0.0011228645303387,1,1,57,test
57,0.0,9.979877857013672e-10,2496.537246315292,510.00187244466247,38.795972505421744,297.7961123434831,4.562091267132775e-16,4.512584922992002e-16,0.0108516777157523,1,1,57,test
98,-3.0,8.0589507925406e-10,2412.212725535436,472.1154567367515,38.858183000543626,295.7855807653235,1.497880088278027e-15,1.5008361047719605e-15,0.0019695798125687,1,1,98,train
98,-1.5,8.0589507925406e-10,2412.212725535436,472.1154567367515,38.858183000543626,295.7855807653235,8.875187483684226e-16,8.86519313267049e-16,0.0011261002691049,1,1,98,train
98,0.0,8.0589507925406e-10,2412.212725535436,472.1154567367515,38.858183000543626,295.7855807653235,4.569898684989914e-16,4.523084881468574e-16,0.0102439477870927,1,1,98,train
154,-3.0,1.0705485436227222e-09,2590.7468930890127,531.0534862964538,41.61731424149927,306.85396396460635,1.6282358770388977e-15,1.6313475751855409e-15,0.0019074403235557,1,1,154,test
154,-1.5,1.0705485436227222e-09,2590.7468930890127,531.0534862964538,41.61731424149927,306.85396396460635,9.652388176661277e-16,9.642599389007312e-16,0.0010141311636878,1,1,154,test
154,0.0,1.0705485436227222e-09,2590.7468930890127,531.0534862964538,41.61731424149927,306.85396396460635,4.881289687730729e-16,4.810302956875048e-16,0.0145426179138903,1,1,154,test
