sample_id,terminal_charge_bias_v,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,compact_port_positive_charge_C,compact_port_negative_charge_C,compact_port_charge_conservation_residual_C,production_source_row,split
128,-0.25,9.91880560193061e-10,2562.543459042286,488.1664551370801,40.47383155665718,295.6008889602198,-1.3055971042628586e-16,1.3055971042628586e-16,0.0,128,train
128,0.0,9.91880560193061e-10,2562.543459042286,488.1664551370801,40.47383155665718,295.6008889602198,0.0,-0.0,0.0,128,train
129,-3.0,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-2.6407882781228865e-15,2.6407882781228865e-15,0.0,129,test
129,-2.75,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-2.318659708173678e-15,2.318659708173678e-15,0.0,129,test
129,-2.5,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-2.0189161555861118e-15,2.0189161555861118e-15,0.0,129,test
129,-2.25,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-1.7400248056007477e-15,1.7400248056007477e-15,0.0,129,test
129,-2.0,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-1.4805515748616848e-15,1.4805515748616848e-15,0.0,129,test
129,-1.75,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-1.2395177656197117e-15,1.2395177656197117e-15,0.0,129,test
129,-1.5,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-1.0160388165381037e-15,1.0160388165381037e-15,0.0,129,test
129,-1.25,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-8.09332146028649e-16,8.09332146028649e-16,0.0,129,test
129,-1.0,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-6.185375580227906e-16,6.185375580227906e-16,0.0,129,test
129,-0.75,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-4.426714288626433e-16,4.426714288626433e-16,0.0,129,test
129,-0.5,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-2.8099575591560483e-16,2.8099575591560483e-16,0.0,129,test
129,-0.25,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,-1.3317034740445286e-16,1.3317034740445286e-16,0.0,129,test
129,0.0,1.067165819870511e-09,2444.626831258547,492.08006432381046,41.193035529790656,301.7038514591378,0.0,-0.0,0.0,129,test
130,-3.0,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-2.367716193284428e-15,2.367716193284428e-15,0.0,130,train
130,-2.75,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-2.0797153071405743e-15,2.0797153071405743e-15,0.0,130,train
130,-2.5,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-1.8115361815401903e-15,1.8115361815401903e-15,0.0,130,train
130,-2.25,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-1.5618376892074265e-15,1.5618376892074265e-15,0.0,130,train
130,-2.0,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-1.3293645155379705e-15,1.3293645155379705e-15,0.0,130,train
130,-1.75,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-1.1132888879697613e-15,1.1132888879697613e-15,0.0,130,train
130,-1.5,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-9.12850674087051e-16,9.12850674087051e-16,0.0,130,train
130,-1.25,1.0789603531824067e-09,2367.1936347140645,478.9001778930339,37.12870103512795,297.3410066095633,-7.27360853204348e-16,7.27360853204348e-16,0.0,130,train
