parameter_degree,alpha,derivative_weight,q_validation_r2,q_validation_active_p95_relative_error,q_validation_rmse_C,dqdv_validation_median_relative_error,dqdv_validation_p95_relative_error,dqdv_validation_max_relative_error,q_accuracy_eligible,selected,selection_criterion
2,1e-07,0.003,0.999989582052511,0.0034480837428388,2.5881600039171247e-18,0.06413248903156406,0.09672553756014747,0.10085825207564883,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-07,0.01,0.9999895120697064,0.003441902458505719,2.596838466370232e-18,0.06263392279890959,0.09691858426281653,0.10068137582288138,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-07,0.03,0.9999891860672323,0.0036790188588280083,2.636889143152578e-18,0.061810581505137754,0.09890243716603979,0.1002311962057119,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-07,0.1,0.9999881826779362,0.004231665332110116,2.7565100194044152e-18,0.06096353354138305,0.10416781583489686,0.10701596956947315,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-07,0.3,0.9999869669936028,0.004708102890896444,2.8948251943570484e-18,0.060374829026466965,0.11045505952758769,0.11556417500206778,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-07,1.0,0.9999860839383937,0.004961981592038637,2.9912878769238484e-18,0.06545813164046656,0.11394562490664457,0.12062756104051658,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-07,3.0,0.9999857392733746,0.004952805145756584,3.0281045574574554e-18,0.06737667373383452,0.11514241292875903,0.12242595654530904,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-07,10.0,0.9999856052968829,0.00495152898497331,3.042295504095015e-18,0.06809279576779946,0.1155864543208424,0.12310217838837657,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-06,0.0,0.9999895910884673,0.0033798334793286584,2.5870373463947174e-18,0.08818045833256659,0.17123367535855805,0.17497047490801815,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-06,0.003,0.999989572318024,0.0034481658065260265,2.589368904579683e-18,0.07979229010837836,0.0990254119295435,0.10462282036088241,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-06,0.01,0.9999894981874653,0.003442620233727924,2.5985565373059778e-18,0.07177056111637241,0.09925338755921208,0.10459858028672693,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-06,0.03,0.9999891710516448,0.0036786505753136837,2.6387192222500708e-18,0.06848971970994712,0.10137902935708043,0.10438266539438334,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-06,0.1,0.9999881675327407,0.004231688463236634,2.7582758389204352e-18,0.061377459959538076,0.10572918255450406,0.10699100039025863,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-06,0.3,0.9999869510393213,0.004707415704231746,2.896596494436496e-18,0.06587011348397434,0.11069404120156882,0.11555088313539355,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-06,1.0,0.9999860669808882,0.0050211169559640206,2.993109848497581e-18,0.0654616024674886,0.11394228786491317,0.12062225578322652,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-06,3.0,0.9999857218474895,0.005019883328944138,3.029954087774194e-18,0.0672775102139203,0.11514082022863067,0.12242368409666958,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-06,10.0,0.999985587678378,0.005019417243598529,3.0441567549440754e-18,0.0679917494467012,0.11558552522641531,0.12310107334861067,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-05,0.0,0.9999895910813803,0.0033805612440503527,2.5870382271063136e-18,0.08818017645928912,0.17123891408512945,0.1749779328599203,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-05,0.003,0.9999894732614715,0.0034452045195716282,2.6016385393730298e-18,0.08863317618159239,0.13022814604846258,0.1325648050628179,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-05,0.01,0.9999892519543638,0.003451281940773696,2.6288438505052944e-18,0.08437252086982587,0.12298787430340792,0.12996691467119295,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-05,0.03,0.9999887927511746,0.0036759594160441114,2.6844143187353347e-18,0.07044584841006316,0.12053437497102032,0.13114385906851467,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-05,0.1,0.9999877083734701,0.004135184609496428,2.811283978690756e-18,0.0605547160668864,0.12190952053869433,0.13195284923038939,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
2,1e-05,0.3,0.9999864561009684,0.0045897727430331756,2.9510182360842293e-18,0.06876285832933782,0.12544879762932623,0.1321094756426295,True,False,minimum_dqdv_p95_subject_to_q_active_p95_limit
