task,model,fraction,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,wall_time_s,n_train,n_test
I_photo,mlp_n,0.5,42,0.0045715527745414245,0.0037920474128658806,0.9608923392811959,5.154291490506141e-06,4.299542002460459e-06,0.8053470747586028,2.00608557406556,769,0.5169022000045516,0.5204140999703668,896,768
I_photo,mlp_l,0.5,42,0.004599445464902048,0.003816222470104855,0.9604136635832368,5.191741577658744e-06,4.329099771673472e-06,0.8166380311777486,2.0300442255772806,2561,0.6151791999582201,0.6194781000376679,896,768
I_photo,dkan,0.5,43,0.003630890812368446,0.0028452156588471976,0.9753304776062797,4.059346319954213e-06,3.209257416773738e-06,0.5276003680788917,1.679754282518136,952,4.144436900038272,4.162996600032784,896,768
I_photo,bkan,0.5,43,0.006804119292787942,0.004987473764216691,0.913368027685767,7.4181903113121804e-06,5.573935123772347e-06,0.866309458614928,3.4128191661359337,1664,10.226778900017962,10.481820999993943,896,768
I_photo,mlp_n,0.5,43,0.004583784682053218,0.0038072484600494556,0.9606827819259947,5.176473728490237e-06,4.320040205280406e-06,0.7950194695433447,1.9481063242989884,769,0.47426799999084324,0.4783799999859184,896,768
I_photo,mlp_l,0.5,43,0.004553935241969375,0.003793921825162048,0.961193179257401,5.150193414305075e-06,4.307387289015445e-06,0.7934610639957818,1.9294666921859116,2561,0.5757127000251785,0.5788027999806218,896,768
I_photo,dkan,0.5,44,0.003968242920959794,0.0030795882016301135,0.9705333432747432,4.481772145422357e-06,3.4901697536156713e-06,0.594489749813753,1.6984633069271613,952,4.3959701000130735,4.412662199989427,896,768
I_photo,bkan,0.5,44,0.006637247650723244,0.00491492598649751,0.9175652342197174,7.245043156033071e-06,5.4928136284044684e-06,0.8986593146036466,3.27290527928098,1664,10.2346966000041,10.478436699951999,896,768
I_photo,mlp_n,0.5,44,0.0045001008920224,0.0037009574255744628,0.9621052658254976,5.080133004033556e-06,4.198736244919742e-06,0.7775477463843701,1.9017708517815317,769,0.48531249997904524,0.48856950004119426,896,768
I_photo,mlp_l,0.5,44,0.0045204879068382565,0.0037377120412544203,0.9617611355453538,5.105165314590159e-06,4.239972547660952e-06,0.7871493482750325,1.926615124377964,2561,0.5182229000492953,0.5221387000055984,896,768
I_photo,dkan,0.8,42,0.003250510848156184,0.002487087372549293,0.9802285917842991,3.635395372521897e-06,2.8053715623676634e-06,0.46558392258374603,1.4967028515548988,952,4.172016500029713,4.191511399985757,1433,768
I_photo,bkan,0.8,42,0.004481761820469411,0.003566435378781428,0.9624134981070751,5.056930270969879e-06,4.044377190160572e-06,0.6891608280360713,2.0446601183101825,1664,16.759817100013606,17.069881000032183,1433,768
I_photo,mlp_n,0.8,42,0.004542037927608137,0.0037723011257853353,0.9613956827281633,5.123103405839637e-06,4.277398655186432e-06,0.7951101537271905,2.01321051560193,769,0.6734087999793701,0.6763735999702476,1433,768
I_photo,mlp_l,0.8,42,0.00456579119618186,0.003790948393960033,0.9609908527950889,5.154858888015645e-06,4.300029375791361e-06,0.8028656422061964,1.9998299484336488,2561,0.7916079999995418,0.7959895999520086,1433,768
I_photo,dkan,0.8,43,0.0033181473128915595,0.0025960326697609076,0.9793972264256773,3.7061468148224548e-06,2.929952226356394e-06,0.5116629522652067,1.454682559060401,952,4.137176699994598,4.16149069997482,1433,768
I_photo,bkan,0.8,43,0.004525872186891859,0.0035858308005554565,0.9616699899102875,5.0473188584551205e-06,4.047999093419847e-06,0.6902487788017935,2.110120144487127,1664,15.68653040000936,15.834187600004952,1433,768
I_photo,mlp_n,0.8,43,0.004540011083417452,0.003766093849150908,0.9614301287100726,5.125982703877423e-06,4.272635070258058e-06,0.791724934090078,1.9505499906274342,769,0.3427825999679044,0.3452743000234477,1433,768
I_photo,mlp_l,0.8,43,0.00452819208897936,0.003768275328920639,0.961630684929133,5.117945379699885e-06,4.2761711389669406e-06,0.787869181644619,1.9268040852998147,2561,0.3927916000247933,0.39534160000039265,1433,768
I_photo,dkan,0.8,44,0.0039632095982924855,0.003137624729079984,0.9706080469320648,4.4815273229448805e-06,3.559320902602284e-06,0.6346556166734623,1.6231202317447433,952,3.281180799996946,3.2933347999933176,1433,768
I_photo,bkan,0.8,44,0.004709883659647283,0.0037304349771249846,0.9584898098647625,5.231043904151718e-06,4.204313910800628e-06,0.7385318718569243,2.147701419660657,1664,15.344278200005647,15.60579649999272,1433,768
I_photo,mlp_n,0.8,44,0.004516266191716808,0.003733515964914159,0.9618325252774549,5.09753952356366e-06,4.2357433787220375e-06,0.788761901820241,1.9292301782962131,769,0.5114581999951042,0.5150332999764942,1433,768
I_photo,mlp_l,0.8,44,0.004550481299904272,0.0037822887220536378,0.9612520231685747,5.137614271600381e-06,4.290026124943524e-06,0.806549868154564,1.9757468329613999,2561,0.5937549999798648,0.5975446000229567,1433,768
I_photo,dkan,1.0,42,0.0032937849162208103,0.0024539940894443934,0.9796986538531298,3.664183136828254e-06,2.7637841380913868e-06,0.4471579486975744,1.426906059932026,952,3.886352200002875,3.9012043999973685,1792,768
I_photo,bkan,1.0,42,0.004229612260587934,0.003389846824371771,0.9665238522461321,4.762304371947131e-06,3.840184862618521e-06,0.6779888803952066,1.8577840914477675,1664,19.1731512999977,19.452079500013497,1792,768
I_photo,mlp_n,1.0,42,0.004521339152752275,0.0037336480131356406,0.9617467327894665,5.098853819310125e-06,4.233170219015465e-06,0.7777394327617477,1.9468843992974958,769,0.5713113999809138,0.574707199994009,1792,768
I_photo,mlp_l,1.0,42,0.004543186237366697,0.003754556460701847,0.9613761605142888,5.127976548929295e-06,4.258634418734431e-06,0.7868614440361504,1.9763062743018882,2561,0.6921832999796607,0.6961817999836057,1792,768
I_photo,dkan,1.0,43,0.003640734221902042,0.0030304586218447716,0.9751965372672793,4.110148998833244e-06,3.437840644221092e-06,0.6328104059782123,1.593362001940962,952,3.9651995000313036,3.9826058000326157,1792,768
I_photo,bkan,1.0,43,0.004330285755200738,0.0034353940492593753,0.9649112840205308,4.854169934176947e-06,3.8847079855356585e-06,0.6795084812824648,2.017770181521754,1664,18.563114500022493,18.755264599982183,1792,768
I_photo,mlp_n,1.0,43,0.004529056021750369,0.0037290923044598825,0.9616160425861237,5.112675293069816e-06,4.2292393639976835e-06,0.7914017582501026,1.9670642746693503,769,0.37763709999853745,0.38034049997804686,1792,768
I_photo,mlp_l,1.0,43,0.004521159252654056,0.0037430374497767257,0.9617497768564502,5.108809719342496e-06,4.246216405693548e-06,0.7853355904197623,1.936068883538891,2561,0.46723679994465783,0.47176240000408143,1792,768
I_photo,dkan,1.0,44,0.003791643109656691,0.0030491861084377685,0.9730977088693634,4.2870736657845106e-06,3.458194371865669e-06,0.596932418986243,1.5795838376799676,952,3.6204684000113048,3.6352055000024848,1792,768
I_photo,bkan,1.0,44,0.004567124340414883,0.0036220951667366758,0.9609680692687647,5.1000860779585405e-06,4.088595139714999e-06,0.7146644108979969,1.9752290609082963,1664,17.372174600022845,17.521604200010188,1792,768
I_photo,mlp_n,1.0,44,0.004510656347397297,0.0037172680095275096,0.9619272852417382,5.090948488855331e-06,4.217001098052202e-06,0.774558100982361,1.9430400257400833,769,0.3831089000450447,0.38588449999224395,1792,768
I_photo,mlp_l,1.0,44,0.004543509000399996,0.0037716291606134985,0.9613706723877783,5.129221092885601e-06,4.2778252693073315e-06,0.797930016461102,1.9543830386431924,2561,0.40689330000896007,0.4101226999773644,1792,768
