mechanism_index,mechanism,photo_role,mechanism_drive,mechanism_initial_sign,mechanism_scale,term_index,term_name,expression,dependencies,probability,active_gate,coefficient_model_space
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.7317174077033997,0.0,-0.02371913194656372
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,6,forward_gate_light_voltage,sigmoid(light_voltage/0.2),light_voltage,0.7317174077033997,0.0,0.01051598321646452
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,22,reverse_drive_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.7317174077033997,0.0,-0.021676233038306236
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,24,collection_saturation_length,(1-exp(-softplus(-light_voltage/0.2)))*active_layer_length,"light_voltage,active_layer_length",0.7317174077033997,0.0,0.01625221036374569
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,27,reverse_thermal_surface_recomb,softplus(-light_voltage/0.2)*(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"light_voltage,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.7317174077033997,0.0,0.0288864653557539
0,photogeneration,main,all,-1.0,-1.0690897703170776,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",0.3630349040031433,0.0,-0.03282536566257477
0,photogeneration,main,all,-1.0,-1.0690897703170776,18,ge_si_velocity_over_length,ge_si_recomb_velocity/active_layer_length,"ge_si_recomb_velocity,active_layer_length",0.3630349040031433,0.0,-0.014361879788339138
0,photogeneration,main,all,-1.0,-1.0690897703170776,21,surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.3630349040031433,0.0,0.007294171955436468
0,photogeneration,main,all,-1.0,-1.0690897703170776,26,thermal_surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.3630349040031433,0.0,-0.016659297049045563
0,photogeneration,main,all,-1.0,-1.0690897703170776,28,trap_A_times_length,trap_assisted_recomb_A*active_layer_length,"trap_assisted_recomb_A,active_layer_length",0.3630349040031433,0.0,0.015557657927274704
1,field_collection,main,reverse,-1.0,-0.2708856463432312,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",0.3630349040031433,0.0,-0.02662699669599533
1,field_collection,main,reverse,-1.0,-0.2708856463432312,18,ge_si_velocity_over_length,ge_si_recomb_velocity/active_layer_length,"ge_si_recomb_velocity,active_layer_length",0.3630349040031433,0.0,0.010325205512344837
1,field_collection,main,reverse,-1.0,-0.2708856463432312,21,surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.3630349040031433,0.0,0.010721475817263126
1,field_collection,main,reverse,-1.0,-0.2708856463432312,26,thermal_surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.3630349040031433,0.0,-0.01596527174115181
1,field_collection,main,reverse,-1.0,-0.2708856463432312,28,trap_A_times_length,trap_assisted_recomb_A*active_layer_length,"trap_assisted_recomb_A,active_layer_length",0.3630349040031433,0.0,-0.0033321967348456383
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.3630349040031433,0.0,0.025971688330173492
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,28,trap_A_times_length,trap_assisted_recomb_A*active_layer_length,"trap_assisted_recomb_A,active_layer_length",0.3630349040031433,0.0,0.017974575981497765
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,17,ge_sio2_velocity_over_length,ge_sio2_recomb_velocity/active_layer_length,"ge_sio2_recomb_velocity,active_layer_length",0.3630349040031433,0.0,-0.00864681787788868
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,18,ge_si_velocity_over_length,ge_si_recomb_velocity/active_layer_length,"ge_si_recomb_velocity,active_layer_length",0.3630349040031433,0.0,0.0028295409865677357
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,21,surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/active_layer_length,"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length",0.3630349040031433,0.0,-0.011572714895009995
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,25,length_collection_saturation,1-exp(-active_layer_length/40),active_layer_length,0.3630349040031433,0.0,0.02996237389743328
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,26,thermal_surface_recomb_over_length,(ge_sio2_recomb_velocity + ge_si_recomb_velocity)/(active_layer_length*simulation_temperature),"ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature",0.3630349040031433,0.0,0.0008779217023402452
0,photogeneration,main,all,-1.0,-1.0690897703170776,15,ge_sio2_velocity_z,scaled(ge_sio2_recomb_velocity),ge_sio2_recomb_velocity,0.32027581334114075,0.0,0.0006101590697653592
0,photogeneration,main,all,-1.0,-1.0690897703170776,20,surface_recomb_sum_z,scaled(ge_sio2_recomb_velocity + ge_si_recomb_velocity),"ge_sio2_recomb_velocity,ge_si_recomb_velocity",0.32027581334114075,0.0,-0.03659932315349579
1,field_collection,main,reverse,-1.0,-0.2708856463432312,15,ge_sio2_velocity_z,scaled(ge_sio2_recomb_velocity),ge_sio2_recomb_velocity,0.32027581334114075,0.0,0.01974833756685257
1,field_collection,main,reverse,-1.0,-0.2708856463432312,20,surface_recomb_sum_z,scaled(ge_sio2_recomb_velocity + ge_si_recomb_velocity),"ge_sio2_recomb_velocity,ge_si_recomb_velocity",0.32027581334114075,0.0,-0.019630052149295807
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,15,ge_sio2_velocity_z,scaled(ge_sio2_recomb_velocity),ge_sio2_recomb_velocity,0.32027581334114075,0.0,0.010368176735937595
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,20,surface_recomb_sum_z,scaled(ge_sio2_recomb_velocity + ge_si_recomb_velocity),"ge_sio2_recomb_velocity,ge_si_recomb_velocity",0.32027581334114075,0.0,0.011267061345279217
0,photogeneration,main,all,-1.0,-1.0690897703170776,14,trap_A_z,scaled(trap_assisted_recomb_A),trap_assisted_recomb_A,0.3128058612346649,0.0,-0.017408091574907303
0,photogeneration,main,all,-1.0,-1.0690897703170776,29,trap_A_over_temperature,trap_assisted_recomb_A/simulation_temperature,"trap_assisted_recomb_A,simulation_temperature",0.3128058612346649,0.0,-0.0011524624424055219
1,field_collection,main,reverse,-1.0,-0.2708856463432312,14,trap_A_z,scaled(trap_assisted_recomb_A),trap_assisted_recomb_A,0.3128058612346649,0.0,-0.007527368608862162
1,field_collection,main,reverse,-1.0,-0.2708856463432312,29,trap_A_over_temperature,trap_assisted_recomb_A/simulation_temperature,"trap_assisted_recomb_A,simulation_temperature",0.3128058612346649,0.0,0.005036401096731424
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,14,trap_A_z,scaled(trap_assisted_recomb_A),trap_assisted_recomb_A,0.3128058612346649,0.0,0.013403750024735928
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,29,trap_A_over_temperature,trap_assisted_recomb_A/simulation_temperature,"trap_assisted_recomb_A,simulation_temperature",0.3128058612346649,0.0,-0.0026735584251582623
0,photogeneration,main,all,-1.0,-1.0690897703170776,16,ge_si_velocity_z,scaled(ge_si_recomb_velocity),ge_si_recomb_velocity,0.27414077520370483,0.0,-0.016855766996741295
1,field_collection,main,reverse,-1.0,-0.2708856463432312,16,ge_si_velocity_z,scaled(ge_si_recomb_velocity),ge_si_recomb_velocity,0.27414077520370483,0.0,0.012830032967031002
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,16,ge_si_velocity_z,scaled(ge_si_recomb_velocity),ge_si_recomb_velocity,0.27414077520370483,0.0,-0.01403073500841856
3,trap_recombination,trap_loss,reverse,1.0,0.036041177809238434,5,reverse_saturation_light_voltage,1-exp(-(softplus(-light_voltage/0.2)-log(2))),light_voltage,0.019783305004239082,0.0,-0.01075663324445486
2,surface_recombination,surface_loss,reverse,1.0,0.04257352277636528,19,reverse_drive_over_length,softplus(-light_voltage/0.2)/active_layer_length,"light_voltage,active_layer_length",0.019287217408418655,0.0,-0.006993507966399193
