task,teacher_source,family,budget,terms,mean_teacher_rmse,mean_direct_rmse,mean_relative_reduction_teacher,pairs,mean_delta_teacher_minus_direct,median_delta_teacher_minus_direct,sample_sd_delta,corrected_standard_error,corrected_ci_low,corrected_ci_high,corrected_two_sided_p,teacher_wins,ties,teacher_losses,holm_p_global_72,holm_p_within_task_18,corrected_ci_favors_teacher,corrected_ci_favors_direct
Capacitance,bkan_parameter_mean,additive_spline,4,36,3.096527786131571e-16,3.0780397697002433e-16,-0.005218108484897292,10,1.848801643132692e-18,8.653611460817006e-19,3.503931661387645e-18,1.7653910525460785e-18,-2.1447903715242814e-18,5.842393657789665e-18,0.3222943231759461,2,0,8,1.0,0.9870007885674653,False,False
Capacitance,dkan,additive_spline,4,36,3.190181891422838e-16,3.0780397697002433e-16,-0.03297444581137246,10,1.1214212172259433e-17,5.6815274661411746e-18,1.598495962077493e-17,8.053725762063153e-18,-7.00458124760416e-18,2.9433005592123026e-17,0.19723417812178617,1,0,9,1.0,0.9870007885674653,False,False
Capacitance,mlp_l,additive_spline,4,36,4.86096888773453e-16,3.0780397697002433e-16,-0.5799392187885177,10,1.7829291180342862e-16,1.720563842226124e-16,1.87694641458605e-17,9.4566467803382e-18,1.5690049055323398e-16,1.9968533305362327e-16,1.5270998338042066e-08,0,0,10,1.0231568886488184e-06,2.4433597340867305e-07,False,True
Capacitance,bkan_parameter_mean,additive_spline,6,50,2.7484678390054445e-16,2.726253683359146e-16,-0.006924741077767976,10,2.2214155646298615e-18,1.029454436548297e-18,4.035361714143783e-18,2.0331422391711717e-18,-2.3778717146987855e-18,6.8207028439585084e-18,0.3029505089119269,2,0,8,1.0,0.9870007885674653,False,False
Capacitance,dkan,additive_spline,6,50,2.890233742794421e-16,2.726253683359146e-16,-0.054495177338089694,10,1.6398005943527557e-17,8.487117245066032e-18,2.000564206259613e-17,1.0079472121827844e-17,-6.403344114090121e-18,3.9199356001145236e-17,0.13820762046409926,0,0,10,1.0,0.9870007885674653,False,False
Capacitance,mlp_l,additive_spline,6,50,5.006375490459969e-16,2.726253683359146e-16,-0.8435848203758098,10,2.2801218071008233e-16,2.2163975275203596e-16,1.435504898138023e-17,7.232525482689687e-18,2.1165107138429531e-16,2.4437329003586937e-16,1.5952958393474244e-10,0,0,10,1.1326600459366712e-08,2.7120029268906216e-09,False,True
Capacitance,bkan_parameter_mean,additive_spline,8,64,2.6939929101426813e-16,2.671487686042007e-16,-0.007157785140673419,10,2.2505224100673884e-18,1.0205406613917472e-18,3.965091198878422e-18,1.9977377419104743e-18,-2.2686743321877026e-18,6.769719152322479e-18,0.28907886340919486,2,0,8,1.0,0.9870007885674653,False,False
Capacitance,dkan,additive_spline,8,64,2.8604730156143225e-16,2.671487686042007e-16,-0.06513419910530482,10,1.889853295723156e-17,1.2220754234037401e-17,1.9772621821694584e-17,9.962069190462793e-18,-3.637233218265162e-18,4.1434299132728285e-17,0.09031317743643098,0,0,10,1.0,0.8128185969278788,False,False
Capacitance,mlp_l,additive_spline,8,64,5.018346033033065e-16,2.671487686042007e-16,-0.8875305549220037,10,2.3468583469910576e-16,2.2862682842508723e-16,1.3564856267050307e-17,6.8344015229567834e-18,2.192253443405101e-16,2.501463250577014e-16,7.435046279773965e-11,0,0,10,5.353233321437255e-09,1.3383083303593137e-09,False,True
Capacitance,bkan_parameter_mean,polynomial,1,8,2.000043455860487e-15,1.999978002279375e-15,-3.254036333523795e-05,10,6.545358111167349e-20,4.7589741738290205e-20,8.294664538850403e-20,4.1791130580893297e-20,-2.908452427332939e-20,1.5999168649667638e-19,0.15174171766513828,2,0,8,1.0,0.9870007885674653,False,False
Capacitance,dkan,polynomial,1,8,2.000230494463986e-15,1.999978002279375e-15,-0.00012456109201943857,10,2.5249218461114116e-19,1.4968447997349396e-19,3.8485300422496033e-19,1.9390105625951544e-19,-1.861424786804594e-19,6.911268479027417e-19,0.22519489868803763,2,0,8,1.0,0.9870007885674653,False,False
Capacitance,mlp_l,polynomial,1,8,2.0001910012192765e-15,1.999978002279375e-15,-0.00010538535558308028,10,2.1299893990160805e-19,2.3018271236665335e-19,2.4870216780681807e-19,1.2530397970749595e-19,-7.045835532082485e-20,4.964562351240409e-19,0.12337509857093316,2,0,8,1.0,0.9870007885674653,False,False
Capacitance,bkan_parameter_mean,polynomial,2,36,1.0944381769669178e-15,1.094147649465141e-15,-0.00026671099287966745,10,2.9052750177688403e-19,2.2717191668313626e-19,2.376357487441068e-19,1.1972836948303772e-19,1.9683113160680234e-20,5.613718903930878e-19,0.03819775801623147,0,0,10,1.0,0.38197758016231476,False,True
Capacitance,dkan,polynomial,2,36,1.096370732888848e-15,1.094147649465141e-15,-0.0020220049622650957,10,2.223083423707035e-18,2.146418130581486e-18,1.2739765214806661e-18,6.41869468220467e-19,7.710738085906307e-19,3.675093038823439e-18,0.007121933941599801,0,0,10,0.36321863102158986,0.08546320729919761,False,True
Capacitance,mlp_l,polynomial,2,36,1.1003521924103446e-15,1.094147649465141e-15,-0.005682096804174757,10,6.2045429452038605e-18,5.379620710760589e-18,4.413228066054603e-18,2.2235232000993334e-18,1.1745840114511673e-18,1.1234501878956553e-17,0.021039716503458546,0,0,10,0.9467872426556345,0.231436881538044,False,True
Capacitance,bkan_parameter_mean,polynomial,3,120,5.258016145698243e-16,5.247387143866635e-16,-0.002030393564316518,10,1.0629001831609316e-18,9.487438594755773e-19,5.162776640966772e-19,2.6011693631739204e-19,4.744747925054187e-19,1.6513255738164444e-18,0.0027323674889470463,0,0,10,0.15028021189208754,0.0355207773563116,False,True
Capacitance,dkan,polynomial,3,120,5.395303995414101e-16,5.247387143866635e-16,-0.028079288912055918,10,1.4791685154746694e-17,1.5931836933082112e-17,6.657399059341515e-18,3.3542071787826314e-18,7.203941359754405e-18,2.237942894973898e-17,0.0016958619999538896,0,0,10,0.0966641339973717,0.023742067999354452,False,True
Capacitance,mlp_l,polynomial,3,120,5.854823901934742e-16,5.247387143866635e-16,-0.11588115852017696,10,6.07436758068107e-17,5.572884959767446e-17,1.7072139592563418e-17,8.601481249378395e-18,4.128577338785491e-17,8.020157822576649e-17,5.9076179045175734e-05,0,0,10,0.0036036469217557198,0.000886142685677636,False,True
I_dark,bkan_parameter_mean,additive_spline,4,31,0.008189778887988941,0.007645568471426089,-0.08557824383141291,10,0.0005442104165628502,0.0002852181685148005,0.0007017813054151421,0.0003535795092913873,-0.00025564200299933596,0.0013440628361250364,0.15815240334043063,2,0,8,1.0,0.7653050240460864,False,False
I_dark,dkan,additive_spline,4,31,0.00871380146833514,0.007645568471426089,-0.1512970364052073,10,0.0010682329969090502,0.0007953821190662502,0.0008494973565902813,0.00042800350503757013,0.00010002180228557342,0.002036444191532527,0.03409313005428037,0,0,10,1.0,0.30683817048852335,False,True
I_dark,mlp_l,additive_spline,4,31,0.01787614753458801,0.007645568471426089,-1.806579295579586,10,0.010230579063161918,0.010842754117338949,0.0021714944606581067,0.0010940672541487346,0.007755626987606394,0.012705531138717443,6.2371914443031955e-06,0,0,10,0.0004054174438797077,0.00010603225455315433,False,True
I_dark,bkan_parameter_mean,additive_spline,6,43,0.00702749269708024,0.00623853838292153,-0.16038885350764392,10,0.0007889543141587102,0.00041245856819584984,0.000958863379019849,0.00048310554928613015,-0.0003039063645464703,0.0018818149928638908,0.13688382662435178,2,0,8,1.0,0.7653050240460864,False,False
I_dark,dkan,additive_spline,6,43,0.008201089324113118,0.00623853838292153,-0.4298703295686617,10,0.0019625509411915903,0.0017153069025835498,0.0012936468586793525,0.0006517800031985873,0.0004881221383872692,0.0034369797439959115,0.014690509835122028,0,0,10,0.6904539622507353,0.1615956081863423,False,True
I_dark,mlp_l,additive_spline,6,43,0.017901522753075688,0.00623853838292153,-2.8999139368776747,10,0.011662984370154159,0.01234193002458295,0.0025903109900155294,0.0013050802033262837,0.008710687840173469,0.014615280900134848,9.046013193285275e-06,0,0,10,0.0005789448443702576,0.0001447362110925644,False,True
I_dark,bkan_parameter_mean,additive_spline,8,55,0.0070387237136453505,0.006244222542575549,-0.15507924362180664,10,0.0007945011710698002,0.0005265230765821502,0.0009394605377565696,0.0004733297871793429,-0.0002762451973637003,0.0018652475395033008,0.12755083734101438,1,0,9,1.0,0.7653050240460864,False,False
I_dark,dkan,additive_spline,8,55,0.00895905509455258,0.006244222542575549,-0.5788314466472257,10,0.0027148325519770304,0.0027722136187777,0.0012721952396350265,0.0006409720023631821,0.0012648531456780502,0.004164811958276011,0.002188795205516705,0,0,10,0.12257253150893549,0.026265542466200463,False,True
I_dark,mlp_l,additive_spline,8,55,0.017908302053240628,0.006244222542575549,-2.89429134510598,10,0.01166407951066508,0.012379804439772601,0.0026499917151142655,0.0013351492310016253,0.008643762114350239,0.014684396906979922,1.0883749036910663e-05,0,0,10,0.0006856761893253718,0.00016325623555365993,False,True
