task,source,source_kind,family,budget,terms,splits,mean_rmse,sd_rmse,median_rmse,mean_r2,min_r2,mean_formula_chars,mean_latency_per_point_s,min_test_finite_rate,min_dense_finite_rate,min_derivative_finite_rate,max_json_replay_error,pareto_mean_rmse_terms
Capacitance,bkan_parameter_mean,teacher_distillation,polynomial,3,120,10,5.258016145698244e-16,7.602975853767838e-18,5.229672737955257e-16,0.9748943060025376,0.9725644354109128,5286.0,4.663432666954274e-06,1.0,1.0,1.0,1.262177448353619e-29,False
Capacitance,dkan,teacher_distillation,additive_spline,4,36,10,3.190181891422838e-16,4.7620174061450486e-17,3.0473131581166617e-16,0.9906493161037829,0.9828759359382097,8657.1,1.5529800031799824e-07,1.0,1.0,1.0,4.102076707149261e-29,False
Capacitance,dkan,teacher_distillation,additive_spline,6,50,10,2.890233742794421e-16,5.556341563250776e-17,2.7375279616589614e-16,0.9922444671822713,0.9834171459006492,10197.6,1.5735466673504564e-07,1.0,1.0,1.0,4.4176210692376655e-29,False
Capacitance,dkan,teacher_distillation,additive_spline,8,64,10,2.8604730156143225e-16,5.614214735462946e-17,2.714200295873834e-16,0.9923949350182479,0.9835132569472202,11744.4,1.6600666645293434e-07,1.0,1.0,1.0,3.1554436208840467e-29,False
Capacitance,dkan,teacher_distillation,polynomial,1,8,10,2.000230494463986e-15,2.177259812373189e-17,1.992695402981121e-15,0.6366254249884872,0.5955171933521345,934.2,2.0673099963460116e-07,1.0,1.0,1.0,6.310887241768096e-30,False
Capacitance,dkan,teacher_distillation,polynomial,2,36,10,1.0963707328888479e-15,1.3746180935260561e-17,1.0916256475030213e-15,0.8908360487134408,0.879169019951449,2020.7,1.2937526664851854e-06,1.0,1.0,1.0,6.310887241768096e-30,False
Capacitance,dkan,teacher_distillation,polynomial,3,120,10,5.395303995414101e-16,1.3235487231815852e-17,5.349100336101897e-16,0.9735796972874647,0.9719491961757248,5281.3,4.680750000601013e-06,1.0,1.0,1.0,1.262177448353619e-29,False
Capacitance,mlp_l,teacher_distillation,additive_spline,4,36,10,4.8609688877345305e-16,4.969161995408512e-17,4.797697655299861e-16,0.9784524868801912,0.967230875554394,8645.7,1.5531766674636554e-07,1.0,1.0,1.0,3.786532345060857e-29,False
Capacitance,mlp_l,teacher_distillation,additive_spline,6,50,10,5.006375490459969e-16,4.808492521452175e-17,4.922915633395348e-16,0.9771632334243939,0.966166230733177,10211.4,1.626659999601543e-07,1.0,1.0,1.0,3.1554436208840467e-29,False
Capacitance,mlp_l,teacher_distillation,additive_spline,8,64,10,5.018346033033065e-16,4.792282283587373e-17,4.934001409497259e-16,0.9770558213911811,0.9660696334807666,11764.1,1.6578333297123512e-07,1.0,1.0,1.0,2.524354896707238e-29,False
Capacitance,mlp_l,teacher_distillation,polynomial,1,8,10,2.0001910012192765e-15,2.1652170204863463e-17,1.9927961734014983e-15,0.6366391288299488,0.5955232487387032,933.1,1.9355866650585088e-07,1.0,1.0,1.0,6.310887241768096e-30,False
Capacitance,mlp_l,teacher_distillation,polynomial,2,36,10,1.1003521924103446e-15,1.2319386259407273e-17,1.0974887129964146e-15,0.890056549261985,0.8785901636507247,2023.7,1.3108669999443615e-06,1.0,1.0,1.0,1.262177448353619e-29,False
Capacitance,mlp_l,teacher_distillation,polynomial,3,120,10,5.854823901934742e-16,1.7122328338900542e-17,5.813460933830463e-16,0.9688922359802031,0.9668305480574996,5285.4,4.635518999227012e-06,1.0,1.0,1.0,1.262177448353619e-29,False
