task,seed,teacher,teacher_to_tcad_rmse,teacher_to_tcad_r2,teacher_to_tcad_p95_abs_error,teacher_to_tcad_max_abs_error,checkpoint,checkpoint_sha256,scaler_mean_max_relative_delta,parameter_count,train_time_s,frozen_test_prediction,replay_status,replay_max_abs_error,replay_rmse,replay_tolerance,test_rows,checkpoint_output_scale_applied,frozen_scale_applied
Capacitance,46,mlp_l,4.355714091979199e-16,0.9838281479949408,9.990467906847257e-16,2.0694806565189017e-15,,,,2625,3.214132499997504,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_46\Capacitance\mlp_l\test_predictions.csv,pass,4.8174998938197204e-21,1.4140868448967792e-21,4.185748304733094e-19,6400,,1000.0
I_dark,47,bkan_parameter_mean,0.0044999832944379,0.9993480583853468,0.0089227321916295,0.0241189506562014,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_47\I-dark-bayes-results\model_checkpoint.pt,a357de4a1a7d379445821c465bb6973bd4f4042219936d1b8f564e2ffb1f1402,6.965519566143205e-09,1310,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\I_dark\bkan\test_predictions.csv,reference_difference_only,0.0020085535278324,0.0006125806575341,7.053845e-05,240,,
I_dark,47,dkan,0.0156113714121511,0.9921536258545848,0.0317045066384808,0.0496860054047365,,,,1310,2.674264100030996,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\I_dark\dkan\test_predictions.csv,pass,4.76837158203125e-07,1.0208473663719517e-07,7.0281081199646e-05,240,,
I_dark,47,mlp_l,0.0145411253300634,0.9931925738909414,0.0399630845594512,0.044958930558951,,,,2561,0.3296968000358902,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\I_dark\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.6215845185301646e-16,7.010128498077394e-05,240,,
I_photo,47,bkan_parameter_mean,0.0043109374632731,0.96405636023464,0.0075012206695802,0.0081382618204006,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_47\I-photo-bayes-results\model_checkpoint.pt,795e080df0e32845ef5dde2260fac8af97bdda15a25cf6e695c1f204279641a0,5.3457853697066316e-09,1310,,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_47\I_photo\bkan\test_predictions.csv,reference_difference_only,0.0004570500976561,0.000138901899944,3.3670630000000005e-05,256,,
I_photo,47,dkan,0.0040685833349812,0.9679841498051168,0.0062953325057885,0.0078356660516418,,,,1310,2.767884699977003,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_47\I_photo\dkan\test_predictions.csv,pass,2.384185791015625e-07,2.5809568279517847e-08,3.359860420227051e-05,256,,
I_photo,47,mlp_l,0.0043012830092107,0.9642171733506172,0.0070984388195487,0.0101095389515077,,,,2561,0.3291178000508807,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_47\I_photo\mlp_l\test_predictions.csv,pass,4.440892098500626e-16,1.6184142622847344e-16,3.3588066101074224e-05,256,,
AC_Response,47,bkan_parameter_mean,0.0852491844034445,0.9987895955743648,0.1434930636236288,0.6794192950058129,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_47\AC-response-bayes-results\model_checkpoint.pt,ebc2bd0850280115b59a7e24fcac968d91a50bb2fee3f1067e4fae690da10229,6.3954031401745045e-09,809,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\AC_Response\bkan\test_predictions.csv,reference_difference_only,0.0185165117492678,0.0050508855685809,6.859824e-05,448,,
AC_Response,47,dkan,0.1611814070623661,0.9956730694659216,0.3066836703425163,1.2458798936196382,,,,809,2.4221371000166982,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\AC_Response\dkan\test_predictions.csv,pass,1.9073486328125e-06,3.216718605889135e-07,6.995363712310792e-05,448,,
AC_Response,47,mlp_l,0.1804118482787892,0.994578990740236,0.3479919447259487,0.7027884330906957,,,,2369,0.3714070999994874,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\AC_Response\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.4356102468320638e-16,6.99183464050293e-05,448,,
Capacitance,47,bkan_parameter_mean,5.776587013137506e-17,0.999705022150828,1.0052671813277408e-16,9.256954383958745e-16,<REPO_ROOT>/artifacts\results\uq_repeated_grouped_capacitance\seed_47\Capacitance-bayes-results\model_checkpoint.pt,ca7a6381f993baaad39b7bc6cfe599c69012ae022e5f1dcd9a7e0867a484731e,7.242149422880721e-09,1477,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\Capacitance\bkan\test_predictions.csv,reference_difference_only,2.729158102397874e-17,4.1323745937214994e-18,4.3035984e-19,6400,1000.0,1000.0
Capacitance,47,dkan,2.8102655341317003e-16,0.9930186167482004,4.140579826274759e-16,2.856771141359312e-15,,,,1477,3.1169717999873683,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\Capacitance\dkan\test_predictions.csv,pass,4.8704394404013405e-21,1.297682484632705e-21,4.0675041596576187e-19,6400,,1000.0
Capacitance,47,mlp_l,4.368508319539947e-16,0.98313007701894,9.837219576215554e-16,2.2099526489475064e-15,,,,2625,3.2247234000242315,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_47\Capacitance\mlp_l\test_predictions.csv,pass,4.2881042891640075e-21,1.2593520762378273e-21,4.182617591550704e-19,6400,,1000.0
I_dark,48,bkan_parameter_mean,0.0036053701830516,0.999590306820806,0.0063770779485607,0.0224311584004022,<REPO_ROOT>/artifacts\results\uq_repeated_grouped\seed_48\I-dark-bayes-results\model_checkpoint.pt,04e02011995d738466ed9244d0b8b20b49f1f4953bdc3835b17fe360cd3567f9,4.4492882258037006e-09,1310,,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_48\I_dark\bkan\test_predictions.csv,reference_difference_only,0.0013774770507808,0.0006190982173996,7.191834000000001e-05,240,,
I_dark,48,dkan,0.0202482570069225,0.9870778643015978,0.0610983056134876,0.1083010979560104,,,,1310,2.6905673000146635,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_48\I_dark\dkan\test_predictions.csv,pass,4.76837158203125e-07,1.1516711510173033e-07,7.096930503845216e-05,240,,
I_dark,48,mlp_l,0.0165701220926886,0.9913461288414298,0.0401529979405994,0.0577449150946822,,,,2561,0.3255748999654315,<REPO_ROOT>/artifacts\results\matched_grouped_comparison\predictions\seed_48\I_dark\mlp_l\test_predictions.csv,pass,8.881784197001252e-16,1.2819751242557092e-16,7.12871265411377e-05,240,,
I_photo,48,bkan_parameter_mean,0.0046382078778422,0.9577894970364008,0.0085982625125095,0.0108215170611756,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\uq_repeated_grouped\seed_48\I-photo-bayes-results\model_checkpoint.pt,05ee1eb98b3598b0519fd6bba2d20bcd1014348563bcef0380df6eb36283128c,5.572104904199885e-09,1310,,<REPO_ROOT>/artifacts\results\net_photocurrent_retrain\matched_grouped_comparison\predictions\seed_48\I_photo\bkan\test_predictions.csv,reference_difference_only,0.0017669008666993,0.0003353311781102,3.3634093e-05,256,,
