bias_v,log_frequency_ghz,trap_assisted_recomb_A,ge_sio2_recomb_velocity,ge_si_recomb_velocity,active_layer_length,simulation_temperature,model_prediction,exported_formula_prediction,formula_minus_model
-2.8,0.5,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6919693063031828e-17,2.6919693946822295e-17,8.83790466728997e-25
-2.8,0.5999999999999996,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6902467853956024e-17,2.6902468881467798e-17,1.0275117747226575e-24
-2.8,0.6999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.688524264488022e-17,2.6885243810545923e-17,1.1656657030406966e-24
-2.8,0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.686801909016564e-17,2.6868018739624044e-17,-3.5054159682880764e-25
-2.8,0.9000000000000004,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6850793881089836e-17,2.6850793668702168e-17,-2.1238766851076857e-25
-2.8,1.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6833568672014032e-17,2.6833568608915048e-17,-6.309898392297448e-26
-2.8,1.0999999999999996,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6816341808577002e-17,2.681634353799317e-17,1.729416166419632e-24
-2.8,1.1999999999999993,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6799116599501198e-17,2.6799118467071293e-17,1.867570094737671e-24
-2.8,1.3000000000000005,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6781891390425394e-17,2.678189340728418e-17,2.016858785488441e-24
-2.8,1.3010299956639813,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6781716028135533e-17,2.6781715986038387e-17,-4.209714620625131e-26
-2.6,-1.0,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.711197119641978e-17,2.7111972632379692e-17,1.4359599127589035e-24
-2.6,-0.9000000000000005,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7093460548672068e-17,2.709345973753128e-17,-8.111407869673424e-25
-2.6,-0.8000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.707494824656313e-17,2.7074946864952394e-17,-1.3816107367220714e-24
-2.6,-0.6999999999999995,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7056432635731744e-17,2.7056433981238742e-17,1.3455069982210916e-24
-2.6,-0.5999999999999998,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.7037921987984032e-17,2.703792110865985e-17,-8.793241828026685e-25
-2.6,-0.5000000000000001,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.701940803151387e-17,2.70194082249462e-17,1.934323301159271e-25
-2.6,-0.40000000000000047,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.700089407504371e-17,2.7000895363502067e-17,1.2884583586555206e-24
-2.6,-0.3000000000000007,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6982383427295997e-17,2.6982382490923178e-17,-9.363728192867516e-25
-2.6,-0.19999999999999923,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6963869470825835e-17,2.6963869618344288e-17,1.4751845298308694e-25
-2.6,-0.09999999999999964,1.0941860864671191e-09,2539.112215454232,503.69324532533454,39.339075937042885,294.39428351617613,2.6945355514355673e-17,2.694535674019802e-17,1.225842345577304e-24
