task,baseline,n_pairs,bkan_rmse_mean,baseline_rmse_mean,paired_delta_mean,bootstrap_ci95_low,bootstrap_ci95_high,corrected_ci95_low,corrected_ci95_high,corrected_p_value_raw,wins,losses,corrected_p_value_holm
APD_M,curve_lut,10,0.037803164046579185,0.03285005546882699,0.004953108577752193,-0.0005222015259063093,0.011391866331274881,-0.006670771459903375,0.01657698861540776,0.3602604281042878,4,6,0.3602604281042878
APD_V_M10,dkan,10,0.02104211997166145,0.03168352225982568,-0.010641402288164225,-0.025929908631539426,-0.0016793586750752441,-0.037209411890323126,0.01592660731399468,0.38851127646914363,8,2,0.6826438100222655
APD_V_M10,mlp_l,10,0.02104211997166145,0.038792073971510195,-0.017749953999848737,-0.02327652646841261,-0.011456295700601617,-0.0292447290653848,-0.006255178934312678,0.0067961738377698535,10,0,0.033980869188849266
APD_V_M10,spline_ridge,10,0.02104211997166145,0.05039417691435456,-0.029352056942693106,-0.03690923971469622,-0.02267616517773215,-0.04319460909170589,-0.015509504793680327,0.0009781708850758915,10,0,0.005869025310455349
APD_V_M10,gmls,10,0.02104211997166145,0.023874409433701067,-0.002832289462039616,-0.005046991486432067,-0.001001872025426258,-0.00680975867411227,0.0011451797500330375,0.14167350649232374,9,1,0.566694025969295
APD_V_M10,autopinn,10,0.02104211997166145,0.02528174609895098,-0.004239626127289529,-0.009787918826079376,-0.0005028618019192561,-0.013786175380928297,0.005306923126349238,0.34132190501113274,7,3,0.6826438100222655
APD_V_M10,curve_lut,10,0.02104211997166145,0.022820178434322817,-0.0017780584626613679,-0.00334595505645976,-0.00017951217285547402,-0.004861067584490767,0.0013049506591680305,0.22438426813775508,6,4,0.6731528044132653
APD_V_br,dkan,10,0.0372758956865313,0.15743758048605336,-0.12016168479952205,-0.29155199855016817,-0.010343429916203592,-0.42614402739060814,0.18582065779156404,0.39746421907099716,8,2,0.6246915534315465
APD_V_br,mlp_l,10,0.0372758956865313,0.07405678438702909,-0.036780888700497776,-0.06331649690995364,-0.016430437207833725,-0.08310443688975701,0.009542659488761457,0.10603429004422782,10,0,0.4241371601769113
APD_V_br,spline_ridge,10,0.0372758956865313,0.09753236236233034,-0.060256466675799036,-0.08117445673099138,-0.03886332321631066,-0.10153910969103971,-0.01897382366055836,0.009202537324029373,10,0,0.05521522394417624
APD_V_br,gmls,10,0.0372758956865313,0.045739904960408674,-0.008464009273877367,-0.01260693152009921,-0.00440957592726889,-0.016460253442022788,-0.00046776510573194596,0.04026000787379817,9,1,0.20130003936899088
APD_V_br,autopinn,10,0.0372758956865313,0.041120615120609064,-0.0038447194340777598,-0.0080205270709016,-0.00036875228428991547,-0.011314497541559842,0.003625058673404323,0.27422130693741587,8,2,0.6246915534315465
APD_V_br,curve_lut,10,0.0372758956865313,0.04632383493244111,-0.009047939245909808,-0.017379200048282632,-0.0017678773757659686,-0.024145474759204467,0.006049596267384851,0.2082305178105155,8,2,0.6246915534315465
