task,task_key,primary_task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,group_macro_rmse_target,group_macro_mae_target,param_count,train_time_s,epochs_completed,best_val_loss,checkpoint,wall_time_s,reused,train_groups,validation_groups,calibration_groups,test_groups,train_rows,test_rows,source_prediction,method_variant,stored_training_values,selected_degree,local_basis_terms,neighbors,best_validation_mse,candidate_validation,selected_hidden,best_epoch,best_validation_mse_scaled,constraint_axis,monotonic_sign,test_axis_gradient_abs_p95_scaled,test_axis_curvature_abs_p95_scaled,test_monotonic_violation_fraction,stored_curve_points,stored_curves,selected_neighbor_curves,selected_distance_power,boundary_hold_evaluations
APD_I_dark,dark_current,True,42,bkan,0.0971589030258047,0.06629769896143119,0.9936606154183303,2.074907924674534e-07,3.594411507136423e-08,9.676183285004734,50.62507712670166,0.09551068100113258,0.06629769896143119,1664,182.08278089994565,300.0,-1.4949477513631184,<REPO_ROOT>/artifacts\results\apd_second_device\predictions\seed_42\dark_current\bkan\model_checkpoint.pt,182.57104460010305,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_42/dark_current/bkan/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,42,dkan,0.1303229133414719,0.10164812827251657,0.988594260359822,2.0978577701803384e-07,4.843043067048107e-08,17.944023903660504,72.27333733118657,0.1245744877159067,0.10164812827251657,952,5.789738900028169,,,,5.824392999988049,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_42/dark_current/dkan/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,42,mlp_l,0.27654559335490225,0.21405823215220718,0.9486411395743746,4.3165470585004155e-07,1.0779580743707712e-07,43.62017853954393,117.5406520106214,0.2743632596157592,0.21405823215220718,2561,1.301170599879697,,,,1.3046101999934763,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_42/dark_current/mlp_l/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,42,spline_ridge,0.1392818777519374,0.09659373037719347,0.9869721988805411,1.5371079006806616e-07,3.940524650107728e-08,15.569983525991129,64.8938476234623,0.13855142525126377,0.09659373037719347,43,,,,,0.0048958000261336565,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_42/dark_current/spline_ridge/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,42,gmls,0.17316389955642966,0.13571328855631576,0.9798629147618352,2.3308814419418794e-07,5.981379387639378e-08,24.6425667438508,82.77724176955643,0.16913772648060887,0.13571328855631576,28203,0.14677999999548774,,,,0.14679840000462718,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_42/dark_current/gmls/test_predictions.csv,validation_selected_gaussian_gmls_adapted,28203.0,2.0,28.0,112.0,0.03539115502113037,"[{""degree"": 1, ""neighbor_factor"": 4, ""neighbors"": 48, ""validation_mse"": 0.07635168598654192}, {""degree"": 2, ""neighbor_factor"": 4, ""neighbors"": 112, ""validation_mse"": 0.03539115502113037}, {""degree"": 2, ""neighbor_factor"": 8, ""neighbors"": 224, ""validation_mse"": 0.04726180739313529}]",,,,,,,,,,,,,
APD_I_dark,dark_current,True,42,autopinn,0.1799353876104597,0.13002443744413417,0.9782572205154191,3.5666611248510594e-07,7.894198454586628e-08,21.177432130926857,87.32194643482535,0.17818705864210294,0.13002443744413414,769,1.7912901999952737,,,,1.7913892999931704,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_42/dark_current/autopinn/test_predictions.csv,autopinn_adapted_smooth_monotone_architecture_search,,,,,,"[{""best_epoch"": 300, ""hidden"": ""16x16"", ""param_count"": 401, ""validation_mse_scaled"": 0.041182637214660645}, {""best_epoch"": 300, ""hidden"": ""32x16"", ""param_count"": 769, ""validation_mse_scaled"": 0.022557692602276802}, {""best_epoch"": 300, ""hidden"": ""32x32"", ""param_count"": 1313, ""validation_mse_scaled"": 0.024370675906538963}]",32x16,300.0,0.022557692602276802,bias_v,-1.0,4.389456748962402,7.738687515258789,0.0,,,,,
APD_I_dark,dark_current,True,42,curve_lut,0.15066561078226323,0.12570763518861394,0.9847556059323124,2.629944150143411e-07,8.046908728529707e-08,30.458158729186955,74.3330044185683,0.13706557152661492,0.12570763518861394,4284,0.03558858600001713,,,,0.035649250999995274,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_42/dark_current/curve_lut/test_predictions.csv,curve_object_pchip_lut_condition_idw,4284.0,,,,0.011954272829961806,"[{""boundary_hold_evaluations"": 0, ""distance_power"": 1.0, ""neighbor_curves"": 1, ""validation_mse"": 0.011954272829961806}, {""boundary_hold_evaluations"": 0, ""distance_power"": 1.0, ""neighbor_curves"": 2, ""validation_mse"": 0.021653241234215363}, {""boundary_hold_evaluations"": 0, ""distance_power"": 1.0, ""neighbor_curves"": 4, ""validation_mse"": 0.027185141986714886}, {""boundary_hold_evaluations"": 0, ""distance_power"": 2.0, ""neighbor_curves"": 4, ""validation_mse"": 0.025252390840167886}, {""boundary_hold_evaluations"": 0, ""distance_power"": 2.0, ""neighbor_curves"": 8, ""validation_mse"": 0.022785737286379785}]",,,,,,,,,4029.0,51.0,1.0,1.0,0.0
APD_I_dark,dark_current,True,43,bkan,0.10005663862877534,0.06631982298015021,0.9930040492817347,3.5906300300722596e-07,5.517321716063956e-08,9.655463530702857,48.785017202215336,0.09905314002619398,0.0663198229801502,1664,177.34633970004506,300.0,-1.5213563044865925,<REPO_ROOT>/artifacts\results\apd_second_device\predictions\seed_43\dark_current\bkan\model_checkpoint.pt,177.66262690001167,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_43/dark_current/bkan/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,43,dkan,0.10633696340321264,0.07702969251780169,0.9920982473189757,3.7331162933418243e-07,6.446693423946716e-08,12.997607103012328,46.12996756893574,0.1047150911743985,0.07702969251780167,952,5.562811099924147,,,,5.594274899922311,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_43/dark_current/dkan/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,43,mlp_l,0.2772248789008321,0.20217426209804487,0.9462944301893509,6.356200315017701e-07,1.4438487221055044e-07,39.14878073831164,82.77986707270148,0.2756245472136176,0.20217426209804487,2561,1.2366276001557708,,,,1.2401052999775857,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_43/dark_current/mlp_l/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
APD_I_dark,dark_current,True,43,spline_ridge,0.14802721107365668,0.11225764242006515,0.9846877843257693,3.517915573996048e-07,7.445272771203739e-08,20.221820785351277,66.0176817743512,0.1460823561924841,0.11225764242006515,43,,,,,0.004617099883034825,True,51,8,11,8,4029,632,<REPO_ROOT>/artifacts/results/compact_framework_eight_models_apd/predictions/seed_43/dark_current/spline_ridge/test_predictions.csv,,,,,,,,,,,,,,,,,,,,
