task_key,task,seed,model,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,rmse_db_or_raw,r2_raw,nonzero_bias_rmse_raw,median_ape_percent,structure_macro_rmse_target,wall_time_s,param_count,train_rows,validation_rows,test_rows,reused
quality_factor,Ring_loaded_Q,42,spline_ridge,0.012679253400239173,0.009484402482868212,0.9856258929360934,1099.488070801508,778.6263378122084,1.573403235544964,6.156586999027622,1099.488070801508,0.9849358622712365,1099.488070801508,1.5734032355449639,0.01100249157459616,0.016004899982362986,50,9360,1440,1440,False
quality_factor,Ring_loaded_Q,42,autopinn,0.0063115683124240814,0.005192053751242673,0.996438211834637,552.9927500658617,421.04505963815785,1.1063652642088522,2.560768485846565,552.9927500658617,0.9961893232571521,552.9927500658617,1.1063652642088522,0.005971488598319823,3.0953083999920636,1345,9360,1440,1440,False
quality_factor,Ring_loaded_Q,42,curve_lut,0.03269357682069282,0.024380549416870546,0.9044307041514221,2961.5481939713623,2025.7425649152503,4.369482425739969,15.319696708044319,2961.5481939713623,0.8907048619218458,2961.5481939713623,4.369482425739969,0.028347634883437275,1.628444300033152,20592,9360,1440,1440,False
quality_factor,Ring_loaded_Q,42,semiempirical,0.01077301204234603,0.008521742506144743,0.9896230959040293,920.5049797831888,693.1905349455996,1.5581445277157022,4.884377629947894,920.5049797831888,0.989441176778438,920.5049797831888,1.5581445277157022,0.009332399933000429,0.0943699000054039,89,9360,1440,1440,False
drop_extinction,Ring_drop_extinction_ratio,42,bkan,0.12578994256945225,0.08140123464125879,0.9964837089928547,0.12578994256945225,0.08140123464125879,0.13215078678758424,0.5596081412694724,0.12578994256945225,0.9964837089928547,0.12578994256945225,0.13215078678758424,0.10117259072838192,180.3544707999681,1872,9360,1440,1440,False
drop_extinction,Ring_drop_extinction_ratio,42,dkan,0.16530020021664762,0.11998565906289728,0.993927888587645,0.16530020021664762,0.11998565906289728,0.22533194131212209,0.7204877082443764,0.16530020021664762,0.993927888587645,0.16530020021664762,0.22533194131212206,0.14155771577709597,3.802876000001561,1088,9360,1440,1440,False
drop_extinction,Ring_drop_extinction_ratio,42,mlp_l,0.14978273951215404,0.12030657956286785,0.9950144105650456,0.14978273951215404,0.12030657956286785,0.24243723422705826,0.6739019332461197,0.14978273951215404,0.9950144105650456,0.14978273951215404,0.24243723422705826,0.13993509985450975,1.0451405000058003,2625,9360,1440,1440,False
drop_extinction,Ring_drop_extinction_ratio,42,spline_ridge,0.2553415407532437,0.19106057015510822,0.9855110831012848,0.2553415407532437,0.19106057015510822,0.3222741535153168,1.2074098872823342,0.2553415407532437,0.9855110831012848,0.2553415407532437,0.3222741535153168,0.2215245678359554,0.014441600011195987,50,9360,1440,1440,False
drop_extinction,Ring_drop_extinction_ratio,42,autopinn,0.1286026210633058,0.1057444522880818,0.9963247015414396,0.1286026210633058,0.1057444522880818,0.22882302811339592,0.5426683226103055,0.1286026210633058,0.9963247015414396,0.1286026210633058,0.22882302811339594,0.12132498187707223,2.3368670999770984,1345,9360,1440,1440,False
drop_extinction,Ring_drop_extinction_ratio,42,curve_lut,0.6520431040139233,0.48696256263228815,0.905518759956295,0.6520431040139233,0.48696256263228815,0.88692575639299,3.0935975323118057,0.6520431040139233,0.905518759956295,0.6520431040139233,0.88692575639299,0.5657008678138342,1.6012953000026755,20592,9360,1440,1440,False
drop_extinction,Ring_drop_extinction_ratio,42,semiempirical,0.21708263415046047,0.17178257522346263,0.9895276743688852,0.21708263415046047,0.17178257522346263,0.3203869263596755,0.9906130042068382,0.21708263415046047,0.9895276743688852,0.21708263415046047,0.3203869263596755,0.1880967958934484,0.09462099999655038,89,9360,1440,1440,False
through_insertion,Ring_through_insertion_loss,42,bkan,0.018359157626702736,0.0090640425878713,0.993667165009879,7.099554781656552e-06,4.545026832131247e-06,1.3749764579296584,5.288997776268084,7.099554781656552e-06,0.9959425707857656,7.099554781656552e-06,1.3749764579296584,0.01078445050734379,173.33491879998473,1872,9360,1440,1440,False
through_insertion,Ring_through_insertion_loss,42,dkan,0.013906832782140471,0.009283106455523216,0.9963662994364914,6.235680719996782e-06,4.502843247468115e-06,1.5480500727163329,6.227906877602645,6.235680719996782e-06,0.9968699126082635,6.235680719996782e-06,1.5480500727163329,0.011454144677956211,4.56658470002003,1088,9360,1440,1440,False
through_insertion,Ring_through_insertion_loss,42,mlp_l,0.013018410677337411,0.010226492938124573,0.9968157393781671,8.85397637347501e-06,5.937045994866548e-06,1.9275888873650806,5.897483747902466,8.85397637347501e-06,0.993689475748508,8.85397637347501e-06,1.9275888873650806,0.011711961457098713,1.3367289999732748,2625,9360,1440,1440,False
through_insertion,Ring_through_insertion_loss,42,spline_ridge,0.024922076034643758,0.01861220684880009,0.9883302620388286,1.5973755235224708e-05,1.0364508732989379e-05,3.2251284022621527,11.240190662366139,1.5973755235224708e-05,0.9794598895990615,1.5973755235224708e-05,3.2251284022621527,0.021055380512085928,0.015927000029478222,50,9360,1440,1440,False
through_insertion,Ring_through_insertion_loss,42,autopinn,0.01361389402416794,0.010853041770160603,0.9965177704062738,7.17269464454996e-06,5.4988375032010746e-06,2.250798961971735,5.5702106404157625,7.17269464454996e-06,0.9958585406062312,7.17269464454996e-06,2.250798961971735,0.012394581578658543,3.2568151999730617,1345,9360,1440,1440,False
through_insertion,Ring_through_insertion_loss,42,curve_lut,0.0731676495157543,0.05379222772104964,0.899415542401426,3.792056027606656e-05,2.7067779443437856e-05,8.967243708898,29.166666016390483,3.792056027606656e-05,0.8842454120346148,3.792056027606656e-05,8.967243708898003,0.06249538716397483,1.9098156000254676,20592,9360,1440,1440,False
through_insertion,Ring_through_insertion_loss,42,semiempirical,0.02182302576160166,0.016936501176063067,0.9910520695125111,1.3639687115099731e-05,9.394905633884024e-06,2.870461596703267,9.995629697488917,1.3639687115099731e-05,0.985023941128212,1.3639687115099731e-05,2.870461596703267,0.018203979319265873,0.11785979999694973,89,9360,1440,1440,False
