task,scenario,holdout_column,holdout_side,threshold,model,seed,rmse_target,mae_target,r2_target,rmse_raw,mae_raw,medape_percent,p95ape_percent,param_count,train_time_s,infer_bs1_s,infer_per_sample_s,storage_points,n_train,n_test,n_fit,n_val,n_fit_curves,n_val_curves,validation_overlap_groups
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,spline_ridge,deterministic,0.007667042059004932,0.0062635490507711115,0.8893309654572762,8.692577829537057e-06,7.114677245408028e-06,1.1385642535168046,3.246041925478263,43,0.0027274999883957207,0.00022300333172703784,7.809895843517249e-07,0.0,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,rbf_nystroem,42,0.01763790898759632,0.01303088821892367,0.4143142945942676,1.9962605017901792e-05,1.4727146713238641e-05,2.2883772001597444,7.642717784733581,2689,0.04394290002528578,0.0003182600000097106,4.81345052018393e-06,0.0,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,rbf_nystroem,43,0.021776412195481234,0.016121862372908802,0.10722280758860758,2.434596292820552e-05,1.8049030331709322e-05,2.334019695837351,10.926609845022433,2689,0.04584969999268651,0.0002539899995705734,4.541061196050578e-06,0.0,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,rbf_nystroem,44,0.021039105302433317,0.015935617593608453,0.1666547496027485,2.361478818181904e-05,1.7934730932365545e-05,2.6712104527982223,10.449556307084785,2689,0.044374999997671694,0.00026891333400271835,4.7770703114717134e-06,0.0,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,mlp_l,42,0.005377849431435893,0.0043315895509036025,0.9455512759010084,6.0543101102639095e-06,4.901990133088695e-06,0.8136315489329746,2.467250583012886,2561,0.47344269999302924,,,,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,mlp_l,43,0.005277787816450103,0.004195345724705887,0.9475585993840301,5.945323003580433e-06,4.749481472454153e-06,0.7931873383347925,2.542121204112426,2561,0.47260899998946115,,,,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,mlp_l,44,0.005247636830585886,0.004163536907014164,0.9481560631519373,5.910498080311591e-06,4.71258816346978e-06,0.7819702664667063,2.441347957644935,2561,0.5048983000451699,,,,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,dkan,42,0.008631613272079083,0.006236193814335329,0.8597333650672507,9.678140281242597e-06,7.035428139649166e-06,1.1240941221548089,3.666477870631311,952,3.6969706999952905,,,,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,dkan,43,0.009429992019056057,0.0076504201606551435,0.8325854960880252,1.0520448522326792e-05,8.649960625105943e-06,1.6626332101615735,3.9340509232836833,952,3.606536799983587,,,,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,dkan,44,0.00765700231008592,0.005980868981609561,0.8896206108885191,8.561594269817554e-06,6.746783063502083e-06,1.1094344565706082,2.9646917986779164,952,3.559043599991128,,,,2048,512,,,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,bkan,42,0.006467782467079738,0.004967783670986195,0.9212444372052935,7.295428072329281e-06,5.6273439511545574e-06,0.9068739443284237,2.70260790536581,1664,88.36664640001254,,,,2048,512,1740.0,308.0,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,bkan,43,0.007018972964636728,0.005235034101437519,0.9072492202991096,7.885400967767886e-06,5.9191969734703345e-06,0.9295137791295505,2.8547480762062665,1664,96.6189489000244,,,,2048,512,1740.0,308.0,,,
I_photo,temperature_high,simulation_temperature,high,303.5695753249263,bkan,44,0.007074303705127889,0.0058254590995705235,0.9057811431118663,8.051439596326174e-06,6.637898091639123e-06,1.1529856163107977,2.8344849172427327,1664,90.55999480001628,,,,2048,512,1740.0,308.0,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,pdk_lut_knn,deterministic,0.008560669210311995,0.006221901239471397,0.853980580781021,9.447744602722126e-06,7.0154315704455755e-06,1.040411617749128,4.143051498719749,14336,0.0019545999821275473,0.0004983000011028101,1.1067317708087406e-05,2048.0,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,poly3_ridge,deterministic,0.019172620653562605,0.012179271054582193,0.26758345925671545,2.104062423583034e-05,1.3555106921246401e-05,1.790768178745815,11.395348675781529,84,0.0027119999867863953,0.00012659999968794484,4.3680989468460516e-07,0.0,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,spline_ridge,deterministic,0.003708032610695458,0.0029336251843139725,0.9726043080160568,4.270765438778896e-06,3.368896332153877e-06,0.6561211411094188,1.648501926886988,43,0.0022838000440970063,0.00022660666533435385,7.290820311330511e-07,0.0,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,rbf_nystroem,42,0.01699597940156301,0.012910323842065051,0.42444401154711087,1.9306073601971334e-05,1.4683104684273113e-05,2.3458816815050523,7.843871045300548,2689,0.046001900045666844,0.0002810633333865553,4.88501301939929e-06,0.0,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,rbf_nystroem,43,0.023540778116247114,0.016625982628563865,-0.10417221019811063,2.6335851999849955e-05,1.8717080981574227e-05,2.7228845526305707,11.075084327504896,2689,0.04807650001021102,0.00033316666764828066,5.086191405704691e-06,0.0,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,rbf_nystroem,44,0.018019720204249842,0.0134683470324371,0.3530193804824694,2.0472626009254027e-05,1.534113570423767e-05,2.2761644120545546,7.893361207951094,2689,0.04773280001245439,0.00027945999948618313,5.213587238965071e-06,0.0,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,mlp_l,42,0.003974026162535116,0.003151975117575084,0.9685329066408006,4.495573585285133e-06,3.591303539144557e-06,0.6107904977100683,1.7589222288381658,2561,0.5199376000091434,,,,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,mlp_l,43,0.004012851116594253,0.0031933742953772553,0.9679150565046196,4.553434212109691e-06,3.6435166183463097e-06,0.589235811096658,1.7626160140102276,2561,0.5169644000125118,,,,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,mlp_l,44,0.0040241828045594905,0.0032055861651870523,0.967733594546394,4.570555628061497e-06,3.656873070100037e-06,0.6501851053651542,1.7356123763555988,2561,0.5123319000122137,,,,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,dkan,42,0.006556234750182418,0.005312247231614235,0.9143545736715658,7.32866710758273e-06,6.030952403327534e-06,1.1283864773453227,2.6316337034219863,952,3.7712434999994002,,,,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,dkan,43,0.009151798643689047,0.007126182812559576,0.833118537404624,1.0172273768884046e-05,8.066631593031436e-06,1.3570903378438772,4.499452135016921,952,3.907426799996756,,,,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,dkan,44,0.011361686528027486,0.009770048929810721,0.7427941806299184,1.3088591629574505e-05,1.1301471798331349e-05,2.1539872856754068,4.770217862155603,952,3.9169350000447594,,,,2048,512,,,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,bkan,42,0.00515792776299382,0.004276593615647003,0.9469914779250294,5.907532055509609e-06,4.906531367315589e-06,0.9067219754062226,2.155458874801533,1664,85.2796890999889,,,,2048,512,1740.0,308.0,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,bkan,43,0.0052462015618993645,0.004412493867154778,0.9451615552282934,5.949289229064287e-06,5.036526627522866e-06,0.9346103611913859,2.1618163153239416,1664,77.34971050004242,,,,2048,512,1740.0,308.0,,,
I_photo,trap_high,trap_assisted_recomb_A,high,1.080430777157778e-09,bkan,44,0.00907148778466656,0.008006049875828269,0.8360345954019728,1.0373281110332305e-05,9.196223109018509e-06,1.7952384503614747,3.6830294417104454,1664,75.12953179999022,,,,2048,512,1740.0,308.0,,,
